n	Filename	Lead	Year	Expt	Site	Temp	PlantType	Type	OI	Sample	Sample2	nomatch	DNLeaf	DN	Tissue	SampleDate_text	SampleDate_format	Date	RunDate_text	RunDate	GCOrder	Drop	Notes
100	NatArea112renamedJuly25_08312018.qgd	NatArea112renamedJuly25	2018	otc	GNA		agg	NatArea	out	112	112		day	day	flower	July25	Jul 25 2018	2018-07-25	8312018	2018-08-31			
103	NatArea120renamedJuly25_08312018.qgd	NatArea120renamedJuly25	2018	otc	GNA		agg	NatArea	out	120	120		day	day	flower	July25	Jul 25 2018	2018-07-25	8312018	2018-08-31			
106	NatArea1402renamedJuly25_08312018.qgd	NatArea1402renamedJuly25	2018	otc	GNA		agg	NatArea	out	1402	KM1402		day	day	flower	July25	Jul 25 2018	2018-07-25	8312018	2018-08-31			
101	NatArea116DJul25_08302018.qgd	NatArea116DJul25	2018	otc	GNA		agg	NatArea	out	116D	116		day	day	flower	Jul25	Jul 25 2018	2018-07-25	8302018	2018-08-30			
105	NatArea136DJul25_08302018.qgd	NatArea136DJul25	2018	otc	GNA		agg	NatArea	out	136D	136		day	day	flower	Jul25	Jul 25 2018	2018-07-25	8302018	2018-08-30			
107	NatArea20DJul25_08302018.qgd	NatArea20DJul25	2018	otc	GNA		agg	NatArea	out	20D	20		day	day	flower	Jul25	Jul 25 2018	2018-07-25	8302018	2018-08-30			
108	NatArea219DJul25_08302018.qgd	NatArea219DJul25	2018	otc	GNA		agg	NatArea	out	219D	219		day	day	flower	Jul25	Jul 25 2018	2018-07-25	8302018	2018-08-30			
109	NatArea320DJul25_08302018.qgd	NatArea320DJul25	2018	otc	GNA		agg	NatArea	out	320D	320		day	day	flower	Jul25	Jul 25 2018	2018-07-25	8302018	2018-08-30			
110	NatArea370DJul25_08302018.qgd	NatArea370DJul25	2018	otc	GNA		agg	NatArea	out	370D	370		day	day	flower	Jul25	Jul 25 2018	2018-07-25	8302018	2018-08-30			
111	NatArea394DJul25_08302018.qgd	NatArea394DJul25	2018	otc	GNA		agg	NatArea	out	394D	394		day	day	flower	Jul25	Jul 25 2018	2018-07-25	8302018	2018-08-30			
112	NatArea69DJul25_08302018.qgd	NatArea69DJul25	2018	otc	GNA		agg	NatArea	out	69D	69		day	day	flower	Jul25	Jul 25 2018	2018-07-25	8302018	2018-08-30			
136	NatAreaKM114renamedJuly25_08312018.qgd	NatAreaKM114renamedJuly25	2018	otc	GNA		agg	NatArea	out	KM114	114		day	day	flower	July25	Jul 25 2018	2018-07-25	8312018	2018-08-31			
141	NatAreaKM1401renamedJuly25_08312018.qgd	NatAreaKM1401renamedJuly25	2018	otc	GNA		agg	NatArea	out	KM1401	KM1401		day	day	flower	July25	Jul 25 2018	2018-07-25	8312018	2018-08-31			
113	NatArea69leafrenamedJuly25_08312018.qgd	NatArea69leafrenamedJuly25	2018	otc	GNA		agg	NatArea	out	69	69		leaf	day	leaf	July25	Jul 25 2018	2018-07-25	8312018	2018-08-31			
52	AirJuly26_08312018.qgd	AirJuly26	2018	otc	GNA		agg	Air	air		Air		day	day	air	July26	Jul 26 2018	2018-07-26	8312018	2018-08-31			
102	NatArea11C2July26_08312018.qgd	NatArea11C2July26	2018	otc	GNA		agg	NatArea	in	11C2	KM11C2		day	day	flower	July26	Jul 26 2018	2018-07-26	8312018	2018-08-31			
125	NatAreaD3July26_08312018.qgd	NatAreaD3July26	2018	otc	GNA		agg	NatArea	in	D3	D3		day	day	flower	July26	Jul 26 2018	2018-07-26	8312018	2018-08-31			
137	NatAreaKM11C1renamedJuly26_08312018.qgd	NatAreaKM11C1renamedJuly26	2018	otc	GNA		agg	NatArea	in	KM11C1	KM11C1		day	day	flower	July26	Jul 26 2018	2018-07-26	8312018	2018-08-31			
138	NatAreaKM13A1July26_08312018.qgd	NatAreaKM13A1July26	2018	otc	GNA		agg	NatArea	in	KM13A1	KM13A1		day	day	flower	July26	Jul 26 2018	2018-07-26	8312018	2018-08-31			
140	NatAreaKM13C1July26_08312018.qgd	NatAreaKM13C1July26	2018	otc	GNA		agg	NatArea	in	KM13C1	KM13C1		day	day	flower	July26	Jul 26 2018	2018-07-26	8312018	2018-08-31			
144	NatAreaKM4A1July26_08312018.qgd	NatAreaKM4A1July26	2018	otc	GNA		agg	NatArea	in	KM4A1	KM4A1		day	day	flower	July26	Jul 26 2018	2018-07-26	8312018	2018-08-31			
145	NatAreaKM4B1July26_08312018.qgd	NatAreaKM4B1July26	2018	otc	GNA		agg	NatArea	in	KM4B1	KM4B1		day	day	flower	July26	Jul 26 2018	2018-07-26	8312018	2018-08-31			
104	NatArea1301renamedJuly26_08312018.qgd	NatArea1301renamedJuly26	2018	otc	GNA		agg	NatArea	out	1301	KM1301		day	day	flower	July26	Jul 26 2018	2018-07-26	8312018	2018-08-31			
129	NatAreaKM0401July26_08312018.qgd	NatAreaKM0401July26	2018	otc	GNA		agg	NatArea	out	KM0401	KM40401		day	day	flower	July26	Jul 26 2018	2018-07-26	8312018	2018-08-31			
135	NatAreaKM11101July26_08312018.qgd	NatAreaKM11101July26	2018	otc	GNA		agg	NatArea	out	KM11101	KM1101		day	day	flower	July26	Jul 26 2018	2018-07-26	8312018	2018-08-31			
86	CWF1July27_09022018.qgd	CWF1July27	2018	otc	bb		agg	bb	in	F1	F1		day	day	flower	July27	Jul 27 2018	2018-07-27	9022018	2018-09-02			
87	CWF2July27_09022018.qgd	CWF2July27	2018	otc	bb		agg	bb	in	F2	F2		day	day	flower	July27	Jul 27 2018	2018-07-27	9022018	2018-09-02			
88	CWF3July27_09022018.qgd	CWF3July27	2018	otc	bb		agg	bb	in	F3	F3		day	day	flower	July27	Jul 27 2018	2018-07-27	9022018	2018-09-02			
89	CWG1July27_09022018.qgd	CWG1July27	2018	otc	bb		agg	bb	in	G1	G1		day	day	flower	July27	Jul 27 2018	2018-07-27	9022018	2018-09-02			
90	CWG2July27_09022018.qgd	CWG2July27	2018	otc	bb		agg	bb	in	G2	G2		day	day	flower	July27	Jul 27 2018	2018-07-27	9022018	2018-09-02			
91	CWG3July27_09022018.qgd	CWG3July27	2018	otc	bb		agg	bb	in	G3	G3		day	day	flower	July27	Jul 27 2018	2018-07-27	9022018	2018-09-02			
92	CWH1July27_09022018.qgd	CWH1July27	2018	otc	bb		agg	bb	in	H1	H1		day	day	flower	July27	Jul 27 2018	2018-07-27	9022018	2018-09-02			
94	CWI1July27_09012018.qgd	CWI1July27	2018	otc	bb		agg	bb	in	I1	I1		day	day	flower	July27	Jul 27 2018	2018-07-27	9012018	2018-09-01			
95	CWI2July27_09022018.qgd	CWI2July27	2018	otc	bb		agg	bb	in	I2	I2		day	day	flower	July27	Jul 27 2018	2018-07-27	9022018	2018-09-02			
96	CWI3July27_09022018.qgd	CWI3July27	2018	otc	bb		agg	bb	in	I3	I3		day	day	flower	July27	Jul 27 2018	2018-07-27	9022018	2018-09-02			
97	CWJ1renamedJuly27_09022018.qgd	CWJ1renamedJuly27	2018	otc	bb		agg	bb	in	J1	J1		day	day	flower	July27	Jul 27 2018	2018-07-27	9022018	2018-09-02			
98	CWJ2renamedJuly27_09022018.qgd	CWJ2renamedJuly27	2018	otc	bb		agg	bb	in	J2	J2		day	day	flower	July27	Jul 27 2018	2018-07-27	9022018	2018-09-02			
99	CWJ3renamedJuly27_09022018.qgd	CWJ3renamedJuly27	2018	otc	bb		agg	bb	in	J3	J3		day	day	flower	July27	Jul 27 2018	2018-07-27	9022018	2018-09-02			
93	CWH1LeafJuly27_09022018.qgd	CWH1LeafJuly27	2018	otc	bb		agg	bb	in	H1	H1		leaf	day	leaf	July27	Jul 27 2018	2018-07-27	9022018	2018-09-02			
36	Air1July27redo_09022018.qgd	Air1July27redo	2018	otc	bb		agg	Air	air	1	Air1		day	day	air	July27redo	Jul 27 2018	2018-07-27	9022018	2018-09-02			
40	Air2renamedJuly27_09022018.qgd	Air2renamedJuly27	2018	otc	bb		agg	Air	air	2	Air2		day	day	air	July27	Jul 27 2018	2018-07-27	9022018	2018-09-02			
