n	Filename	Lead	Year	Expt	Site	Temp	PlantType	Type	OI	Sample	Sample2	nomatch	DNLeaf	DN	Tissue	SampleDate_text	SampleDate_format	Date	RunDate_text	RunDate	GCOrder	Drop	Notes
214	Air1_night_190802_892019_10.qgd	Air1	2019	otc	SC		ten	Air	air	Air1	Air1		night	night	air	190802	08-02-19	2019-08-02	892019	2019-08-09	10		
216	Air2_night_190802_892019_11.qgd	Air2	2019	otc	SC		ten	Air	air	Air2	Air2		night	night	air	190802	08-02-19	2019-08-02	892019	2019-08-09	11		
217	Air3_night_190802_8102019_05.qgd	Air3	2019	otc	SC		ten	Air	air	Air3	Air3		night	night	air	190802	08-02-19	2019-08-02	8102019	2019-08-10	5		
266	OTC_A2_night_190802_892019_13.qgd	OTC	2019	otc	SC		ten	OTC	in	A2	A2		night	night	flower	190802	08-02-19	2019-08-02	892019	2019-08-09	13		
267	OTC_B1_night_190802_892019_23.qgd	OTC	2019	otc	SC		ten	OTC	in	B1	B1		night	night	flower	190802	08-02-19	2019-08-02	892019	2019-08-09	23		
270	OTC_B2_night_190802_892019_22.qgd	OTC	2019	otc	SC		ten	OTC	in	B2	B2		night	night	flower	190802	08-02-19	2019-08-02	892019	2019-08-09	22		
273	OTC_C1_night_190802_892019_24.qgd	OTC	2019	otc	SC		ten	OTC	in	C1	C1		night	night	flower	190802	08-02-19	2019-08-02	892019	2019-08-09	24		
276	OTC_C2_night_190802_892019_15.qgd	OTC	2019	otc	SC		ten	OTC	in	C2	C2		night	night	flower	190802	08-02-19	2019-08-02	892019	2019-08-09	15		
278	OTC_C3_night_190802_8102019_03.qgd	OTC	2019	otc	SC		ten	OTC	in	C3	C3		night	night	flower	190802	08-02-19	2019-08-02	8102019	2019-08-10	3		
282	OTC_E1_night_190802_892019_19.qgd	OTC	2019	otc	SC		ten	OTC	in	E1	E1		night	night	flower	190802	08-02-19	2019-08-02	892019	2019-08-09	19		
286	OTC_E2_night_190802_892019_18.qgd	OTC	2019	otc	SC		ten	OTC	in	E2	E2		night	night	flower	190802	08-02-19	2019-08-02	892019	2019-08-09	18		
289	OTC_E3_night_190802_8102019_06.qgd	OTC	2019	otc	SC		ten	OTC	in	E3	E3		night	night	flower	190802	08-02-19	2019-08-02	8102019	2019-08-10	6		
316	SC1_night_190802_892019_16.qgd	SC1	2019	otc	SC		ten	SC	out	1	1		night	night	flower	190802	08-02-19	2019-08-02	892019	2019-08-09	16		
318	SC10_night_190802_892019_12.qgd	SC10	2019	otc	SC		ten	SC	out	10	10		night	night	flower	190802	08-02-19	2019-08-02	892019	2019-08-09	12		
323	SC3_night_190802_892019_17.qgd	SC3	2019	otc	SC		ten	SC	out	3	3		night	night	flower	190802	08-02-19	2019-08-02	892019	2019-08-09	17		
326	SC4_night_190802_8102019_04.qgd	SC4	2019	otc	SC		ten	SC	out	4	4		night	night	flower	190802	08-02-19	2019-08-02	8102019	2019-08-10	4		
329	SC5_night_190802_8102019_02.qgd	SC5	2019	otc	SC		ten	SC	out	5	5		night	night	flower	190802	08-02-19	2019-08-02	8102019	2019-08-10	2		
332	SC6_night_190802_892019_21.qgd	SC6	2019	otc	SC		ten	SC	out	6	6		night	night	flower	190802	08-02-19	2019-08-02	892019	2019-08-09	21		
335	SC7_night_190802_892019_14.qgd	SC7	2019	otc	SC		ten	SC	out	7	7		night	night	flower	190802	08-02-19	2019-08-02	892019	2019-08-09	14		
338	SC8_night_190802_892019_20.qgd	SC8	2019	otc	SC		ten	SC	out	8	8		night	night	flower	190802	08-02-19	2019-08-02	892019	2019-08-09	20		
213	Air1_day_190804_8102019_07.qgd	Air1	2019	otc	GNA		agg	Air	air	Air1	Air1		day	day	air	190804	08-04-19	2019-08-05	8102019	2019-08-10	7		
258	GNA8_leaf_190804_8102019_08.qgd	GNA8	2019	otc	GNA		agg	GNA	out	8	8		leaf	day	leaf	190804	08-04-19	2019-08-05	8102019	2019-08-10	8		
215	Air2_day_190805_8102019_12.qgd	Air2	2019	otc	GNA		agg	Air	air	Air2	Air2		day	day	air	190805	08-05-19	2019-08-05	8102019	2019-08-10	12		
290	OTC_V1_day_190805_8102019_08.qgd	OTC	2019	otc	GNA		agg	OTC	in	V1	V1		day	day	flower	190805	08-05-19	2019-08-05	8102019	2019-08-10	8		
292	OTC_V2_day_190805_8102019_03.qgd	OTC	2019	otc	GNA		agg	OTC	in	V2	V2		day	day	flower	190805	08-05-19	2019-08-05	8102019	2019-08-10	3		
294	OTC_W1_day_190805_8102019_07.qgd	OTC	2019	otc	GNA		agg	OTC	in	W1	W1		day	day	flower	190805	08-05-19	2019-08-05	8102019	2019-08-10	7		
296	OTC_W2_day_190805_8102019_06.qgd	OTC	2019	otc	GNA		agg	OTC	in	W2	W2		day	day	flower	190805	08-05-19	2019-08-05	8102019	2019-08-10	6		
291	OTC_V1_leaf_190805_8102019_01.qgd	OTC	2019	otc	GNA		agg	OTC	in	V1	V1		leaf	day	leaf	190805	08-05-19	2019-08-05	8102019	2019-08-10	1		
293	OTC_V2_leaf_190805_8102019_11.qgd	OTC	2019	otc	GNA		agg	OTC	in	V2	V2		leaf	day	leaf	190805	08-05-19	2019-08-05	8102019	2019-08-10	11		
295	OTC_W1redo_leaf_190805_8102019_10.qgd	OTC	2019	otc	GNA		agg	OTC	in	W1redo	W1redo		leaf	day	leaf	190805	08-05-19	2019-08-05	8102019	2019-08-10	10		
297	OTC_W2_leaf_190805_8102019_09.qgd	OTC	2019	otc	GNA		agg	OTC	in	W2	W2		leaf	day	leaf	190805	08-05-19	2019-08-05	8102019	2019-08-10	9		
301	OTC_X2_leaf_190805_8102019_14.qgd	OTC	2019	otc	GNA		agg	OTC	in	X2	X1		leaf	day	leaf	190805	08-05-19	2019-08-05	8102019	2019-08-10	14		
302	OTC_X2_leaf_190805_8102019_16.qgd	OTC	2019	otc	GNA		agg	OTC	in	X2	X2		leaf	day	leaf	190805	08-05-19	2019-08-05	8102019	2019-08-10	16		
304	OTC_Y1_leaf_190805_8102019_18.qgd	OTC	2019	otc	GNA		agg	OTC	in	Y1	Y1		leaf	day	leaf	190805	08-05-19	2019-08-05	8102019	2019-08-10	18		
306	OTC_Y2_leaf_190805_8102019_20.qgd	OTC	2019	otc	GNA		agg	OTC	in	Y2	Y2		leaf	day	leaf	190805	08-05-19	2019-08-05	8102019	2019-08-10	20		
308	OTC_Z1_leaf_190805_8102019_22.qgd	OTC	2019	otc	GNA		agg	OTC	in	Z1	Z1		leaf	day	leaf	190805	08-05-19	2019-08-05	8102019	2019-08-10	22		
310	OTC_Z2_leaf_190805_8102019_23.qgd	OTC	2019	otc	GNA		agg	OTC	in	Z2	Z2		leaf	day	leaf	190805	08-05-19	2019-08-05	8102019	2019-08-10	23		
243	GNA10_day_190805_8102019_05.qgd	GNA10	2019	otc	GNA		agg	GNA	out	10	10		day	day	flower	190805	08-05-19	2019-08-05	8102019	2019-08-10	5		
257	GNA8_day_190805_8102019_02.qgd	GNA8	2019	otc	GNA		agg	GNA	out	8	8		day	day	flower	190805	08-05-19	2019-08-05	8102019	2019-08-10	2		
259	GNA9_day_190805_8102019_04.qgd	GNA9	2019	otc	GNA		agg	GNA	out	9	9		day	day	flower	190805	08-05-19	2019-08-05	8102019	2019-08-10	4		
244	GNA1redo_leaf_190805_8112019_25.qgd	GNA1redo	2019	otc	GNA		agg	GNA	out	1redo	1redo		leaf	day	leaf	190805	08-05-19	2019-08-05	8112019	2019-08-11	25		
246	GNA2_leaf_190805_8102019_19.qgd	GNA2	2019	otc	GNA		agg	GNA	out	2	2		leaf	day	leaf	190805	08-05-19	2019-08-05	8102019	2019-08-10	19		
248	GNA3_leaf_190805_8102019_21.qgd	GNA3	2019	otc	GNA		agg	GNA	out	3	3		leaf	day	leaf	190805	08-05-19	2019-08-05	8102019	2019-08-10	21		
250	GNA4_leaf_190805_8102019_13.qgd	GNA4	2019	otc	GNA		agg	GNA	out	4	4		leaf	day	leaf	190805	08-05-19	2019-08-05	8102019	2019-08-10	13		
252	GNA5_leaf_190805_8102019_17.qgd	GNA5	2019	otc	GNA		agg	GNA	out	5	5		leaf	day	leaf	190805	08-05-19	2019-08-05	8102019	2019-08-10	17		
253	GNA5redo_leaf_190805_8112019_17.qgd	GNA5redo	2019	otc	GNA		agg	GNA	out	5redo	5redo	nm	leaf	day	leaf	190805	08-05-19	2019-08-05	8112019	2019-08-11	17		
255	GNA6_leaf_190805_8102019_15.qgd	GNA6	2019	otc	GNA		agg	GNA	out	6	6		leaf	day	leaf	190805	08-05-19	2019-08-05	8102019	2019-08-10	15		
260	GNA9_leaf_190805_8102019_09.qgd	GNA9	2019	otc	GNA		agg	GNA	out	9	9		leaf	day	leaf	190805	08-05-19	2019-08-05	8102019	2019-08-10	9		
48	AirC1Aug10_08292018.qgd	AirC1Aug10	2018	perc		cool		Air		C1	AirC1			day	air	Aug10	Aug 10 2018	2018-08-10	8292018	2018-08-29			
49	AirC2Aug10_08292018.qgd	AirC2Aug10	2018	perc		cool		Air		C2	AirC2			day	air	Aug10	Aug 10 2018	2018-08-10	8292018	2018-08-29			
59	AirW1Aug10_08292018.qgd	AirW1Aug10	2018	perc		warm		Air		W1	AirW1			day	air	Aug10	Aug 10 2018	2018-08-10	8292018	2018-08-29			
60	AirW2Aug10_08292018.qgd	AirW2Aug10	2018	perc		warm		Air		W2	AirW2			day	air	Aug10	Aug 10 2018	2018-08-10	8292018	2018-08-29			
2	A117DCoolAug10_08292018.qgd	A117DCoolAug10	2018	perc			agg	A		117D	A117		day	day	flower	Aug10	Aug 10 2018	2018-08-10	8292018	2018-08-29			
5	A128DWarmAug10_08292018.qgd	A128DWarmAug10	2018	perc			agg	A		128D	A128		day	day	flower	Aug10	Aug 10 2018	2018-08-10	8292018	2018-08-29			
9	A139DCoolAug10_08292018.qgd	A139DCoolAug10	2018	perc			agg	A		139D	A139		day	day	flower	Aug10	Aug 10 2018	2018-08-10	8292018	2018-08-29			
12	A141DWarmAug10_08292018.qgd	A141DWarmAug10	2018	perc			agg	A		141D	A141		day	day	flower	Aug10	Aug 10 2018	2018-08-10	8292018	2018-08-29			
14	A141redoDWarmAug10_08292018.qgd	A141redoDWarmAug10	2018	perc			agg	A		141Dredo	A141redo		day	day	flower	Aug10	Aug 10 2018	2018-08-10	8292018	2018-08-29			
18	A179DCoolAug10_08292018.qgd	A179DCoolAug10	2018	perc			agg	A		179D	A179		day	day	flower	Aug10	Aug 10 2018	2018-08-10	8292018	2018-08-29			
22	A188DCoolAug10_08292018.qgd	A188DCoolAug10	2018	perc			agg	A		188D	A188		day	day	flower	Aug10	Aug 10 2018	2018-08-10	8292018	2018-08-29			
27	A198DWarmAug10_08292018.qgd	A198DWarmAug10	2018	perc			agg	A		198D	A198		day	day	flower	Aug10	Aug 10 2018	2018-08-10	8292018	2018-08-29			
31	A200DCoolAug10_08292018.qgd	A200DCoolAug10	2018	perc			agg	A		200D	A200		day	day	flower	Aug10	Aug 10 2018	2018-08-10	8292018	2018-08-29			
34	A74DWarmAug10_08292018.qgd	A74DWarmAug10	2018	perc			agg	A		74D	A74		day	day	flower	Aug10	Aug 10 2018	2018-08-10	8292018	2018-08-29			
149	T119DCoolAug10_08292018.qgd	T119DCoolAug10	2018	perc			ten	T		119D	T119		day	day	flower	Aug10	Aug 10 2018	2018-08-10	8292018	2018-08-29			
153	T132DWarmAug10_08292018.qgd	T132DWarmAug10	2018	perc			ten	T		132D	T132		day	day	flower	Aug10	Aug 10 2018	2018-08-10	8292018	2018-08-29			
157	T145DWarmAug10_08292018.qgd	T145DWarmAug10	2018	perc			ten	T		145D	T145		day	day	flower	Aug10	Aug 10 2018	2018-08-10	8292018	2018-08-29			
160	T153DWarmAug10_08292018.qgd	T153DWarmAug10	2018	perc			ten	T		153D	T153		day	day	flower	Aug10	Aug 10 2018	2018-08-10	8292018	2018-08-29			
163	T167DWarmAug10_08292018.qgd	T167DWarmAug10	2018	perc			ten	T		167D	T167		day	day	flower	Aug10	Aug 10 2018	2018-08-10	8292018	2018-08-29			
166	T174DAug10_08292018.qgd	T174DAug10	2018	perc			ten	T		174D	T174		day	day	flower	Aug10	Aug 10 2018	2018-08-10	8292018	2018-08-29			
169	T186DCoolAug10_08292018.qgd	T186DCoolAug10	2018	perc			ten	T		186D	T186		day	day	flower	Aug10	Aug 10 2018	2018-08-10	8292018	2018-08-29			
174	T196DCoolAug10_08292018.qgd	T196DCoolAug10	2018	perc			ten	T		196D	T196		day	day	flower	Aug10	Aug 10 2018	2018-08-10	8292018	2018-08-29			
179	T72DCoolAug10_08292018.qgd	T72DCoolAug10	2018	perc			ten	T		72D	T72		day	day	flower	Aug10	Aug 10 2018	2018-08-10	8292018	2018-08-29			
50	AirC3NAug10_08292018.qgd	AirC3NAug10	2018	perc		cool		Air		C3N	AirC3			night	air	Aug10	Aug 10 2018	2018-08-10	8292018	2018-08-29			
51	AirC4Aug10_08302018.qgd	AirC4Aug10	2018	perc		cool		Air		C4	AirC4			night	air	Aug10	Aug 10 2018	2018-08-10	8302018	2018-08-30			
61	AirW3NAug10_08292018.qgd	AirW3NAug10	2018	perc		warm		Air		W3N	AirW3			night	air	Aug10	Aug 10 2018	2018-08-10	8292018	2018-08-29			
62	AirW4Aug10_08302018.qgd	AirW4Aug10	2018	perc		warm		Air		W4	AirW4			night	air	Aug10	Aug 10 2018	2018-08-10	8302018	2018-08-30			
3	A117NAug10_08302018.qgd	A117NAug10	2018	perc			agg	A		117N	A117		night	night	flower	Aug10	Aug 10 2018	2018-08-10	8302018	2018-08-30			
6	A128NAug10_08292018.qgd	A128NAug10	2018	perc			agg	A		128N	A128		night	night	flower	Aug10	Aug 10 2018	2018-08-10	8292018	2018-08-29			
10	A139NAug10_08302018.qgd	A139NAug10	2018	perc			agg	A		139N	A139		night	night	flower	Aug10	Aug 10 2018	2018-08-10	8302018	2018-08-30			
13	A141NAug10_08302018.qgd	A141NAug10	2018	perc			agg	A		141N	A141		night	night	flower	Aug10	Aug 10 2018	2018-08-10	8302018	2018-08-30			
19	A179NAug10_08302018.qgd	A179NAug10	2018	perc			agg	A		179N	A179		night	night	flower	Aug10	Aug 10 2018	2018-08-10	8302018	2018-08-30			
24	A188NAug10_08292018.qgd	A188NAug10	2018	perc			agg	A		188N	A188		night	night	flower	Aug10	Aug 10 2018	2018-08-10	8292018	2018-08-29			
28	A198NAug10_08292018.qgd	A198NAug10	2018	perc			agg	A		198N	A198		night	night	flower	Aug10	Aug 10 2018	2018-08-10	8292018	2018-08-29			
32	A200NAug10_08302018.qgd	A200NAug10	2018	perc			agg	A		200N	A200		night	night	flower	Aug10	Aug 10 2018	2018-08-10	8302018	2018-08-30			
35	A74NAug10_08292018.qgd	A74NAug10	2018	perc			agg	A		74N	A74		night	night	flower	Aug10	Aug 10 2018	2018-08-10	8292018	2018-08-29			
150	T119NAug10_08292018.qgd	T119NAug10	2018	perc			ten	T		119N	T119		night	night	flower	Aug10	Aug 10 2018	2018-08-10	8292018	2018-08-29			
154	T132NAug10_08302018.qgd	T132NAug10	2018	perc			ten	T		132N	T132		night	night	flower	Aug10	Aug 10 2018	2018-08-10	8302018	2018-08-30			
158	T145NAug10_08292018.qgd	T145NAug10	2018	perc			ten	T		145N	T145		night	night	flower	Aug10	Aug 10 2018	2018-08-10	8292018	2018-08-29			
161	T153NAug10_08302018.qgd	T153NAug10	2018	perc			ten	T		153N	T153		night	night	flower	Aug10	Aug 10 2018	2018-08-10	8302018	2018-08-30			
164	T167NAug10_08302018.qgd	T167NAug10	2018	perc			ten	T		167N	T167		night	night	flower	Aug10	Aug 10 2018	2018-08-10	8302018	2018-08-30			
167	T174NAug10_08302018.qgd	T174NAug10	2018	perc			ten	T		174N	T174		night	night	flower	Aug10	Aug 10 2018	2018-08-10	8302018	2018-08-30			
170	T186NAug10_08302018.qgd	T186NAug10	2018	perc			ten	T		186N	T186		night	night	flower	Aug10	Aug 10 2018	2018-08-10	8302018	2018-08-30			
176	T196NAug10_08302018.qgd	T196NAug10	2018	perc			ten	T		196N	T196		night	night	flower	Aug10	Aug 10 2018	2018-08-10	8302018	2018-08-30			
172	T1962NAug10_08302018.qgd	T1962NAug10	2018	perc			ten	T		1962N	T196redo		night	night	flower	Aug10	Aug 10 2018	2018-08-10	8302018	2018-08-30			
180	T72NAug10_08292018.qgd	T72NAug10	2018	perc			ten	T		72N	T72		night	night	flower	Aug10	Aug 10 2018	2018-08-10	8292018	2018-08-29			
17	A179DAug15_09012018.qgd	A179DAug15	2018	perc			agg	A		179D	A179		day	day	flower	Aug15	Aug 15 2018	2018-08-16	9012018	2018-09-01			
44	AirC11Aug15_09012018.qgd	AirC11Aug15	2018	perc		cool		Air		C11	AirC11			night	air	Aug15	Aug 15 2018	2018-08-15	9012018	2018-09-01			
45	AirC12Aug15_09012018.qgd	AirC12Aug15	2018	perc		cool		Air		C12	AirC12			night	air	Aug15	Aug 15 2018	2018-08-15	9012018	2018-09-01			
55	AirW11Aug15_09012018.qgd	AirW11Aug15	2018	perc		warm		Air		W11	AirW11			night	air	Aug15	Aug 15 2018	2018-08-15	9012018	2018-09-01			
56	AirW12Aug15_09012018.qgd	AirW12Aug15	2018	perc		warm		Air		W12	AirW12			night	air	Aug15	Aug 15 2018	2018-08-15	9012018	2018-09-01			
7	A128NAug15_09012018.qgd	A128NAug15	2018	perc			agg	A		128N	A128		night	night	flower	Aug15	Aug 15 2018	2018-08-15	9012018	2018-09-01			
11	A139NAug15_09012018.qgd	A139NAug15	2018	perc			agg	A		139N	A139		night	night	flower	Aug15	Aug 15 2018	2018-08-15	9012018	2018-09-01			
16	A150NAug15_09012018.qgd	A150NAug15	2018	perc			agg	A		150N	A150		night	night	flower	Aug15	Aug 15 2018	2018-08-15	9012018	2018-09-01			
20	A179NAug15_09012018.qgd	A179NAug15	2018	perc			agg	A		179N	A179		night	night	flower	Aug15	Aug 15 2018	2018-08-15	9012018	2018-09-01			
25	A188NAug15_09012018.qgd	A188NAug15	2018	perc			agg	A		188N	A188		night	night	flower	Aug15	Aug 15 2018	2018-08-15	9012018	2018-09-01			
29	A198NAug15_09012018.qgd	A198NAug15	2018	perc			agg	A		198N	A198		night	night	flower	Aug15	Aug 15 2018	2018-08-15	9012018	2018-09-01			
33	A200NAug15_09012018.qgd	A200NAug15	2018	perc			agg	A		200N	A200		night	night	flower	Aug15	Aug 15 2018	2018-08-15	9012018	2018-09-01			
151	T119NAug15_09012018.qgd	T119NAug15	2018	perc			ten	T		119N	T119		night	night	flower	Aug15	Aug 15 2018	2018-08-15	9012018	2018-09-01			
155	T132NAug15_09012018.qgd	T132NAug15	2018	perc			ten	T		132N	T132		night	night	flower	Aug15	Aug 15 2018	2018-08-15	9012018	2018-09-01			
159	T145NAug15_09012018.qgd	T145NAug15	2018	perc			ten	T		145N	T145		night	night	flower	Aug15	Aug 15 2018	2018-08-15	9012018	2018-09-01			
165	T167NAug15_09012018.qgd	T167NAug15	2018	perc			ten	T		167N	T167		night	night	flower	Aug15	Aug 15 2018	2018-08-15	9012018	2018-09-01			
171	T186NAug15_09012018.qgd	T186NAug15	2018	perc			ten	T		186N	T186		night	night	flower	Aug15	Aug 15 2018	2018-08-15	9012018	2018-09-01			
177	T196NAug15_09012018.qgd	T196NAug15	2018	perc			ten	T		196N	T196		night	night	flower	Aug15	Aug 15 2018	2018-08-15	9012018	2018-09-01			
181	T72NAug15_09012018.qgd	T72NAug15	2018	perc			ten	T		72N	T72		night	night	flower	Aug15	Aug 15 2018	2018-08-15	9012018	2018-09-01			
46	AirC13Aug16_08312018.qgd	AirC13Aug16	2018	perc		cool		Air		C13	AirC13			day	air	Aug16	Aug 16 2018	2018-08-16	8312018	2018-08-31			
47	AirC14DAug16_09012018.qgd	AirC14DAug16	2018	perc		cool		Air		C14D	AirC14			day	air	Aug16	Aug 16 2018	2018-08-16	9012018	2018-09-01			
57	AirW13Aug16_08312018.qgd	AirW13Aug16	2018	perc		warm		Air		W13	AirW13			day	air	Aug16	Aug 16 2018	2018-08-16	8312018	2018-08-31			
58	AirW14Aug16_09012018.qgd	AirW14Aug16	2018	perc		warm		Air		W14	AirW14			day	air	Aug16	Aug 16 2018	2018-08-16	9012018	2018-09-01			
1	A117DAug16_09012018.qgd	A117DAug16	2018	perc			agg	A		117D	A117		day	day	flower	Aug16	Aug 16 2018	2018-08-16	9012018	2018-09-01			
4	A128DAug16_09012018.qgd	A128DAug16	2018	perc			agg	A		128D	A128		day	day	flower	Aug16	Aug 16 2018	2018-08-16	9012018	2018-09-01			
8	A139DAug16_09012018.qgd	A139DAug16	2018	perc			agg	A		139D	A139		day	day	flower	Aug16	Aug 16 2018	2018-08-16	9012018	2018-09-01			
15	A150DAug16_09012018.qgd	A150DAug16	2018	perc			agg	A		150D	A150		day	day	flower	Aug16	Aug 16 2018	2018-08-16	9012018	2018-09-01			
21	A188DAug16_09012018.qgd	A188DAug16	2018	perc			agg	A		188D	A188		day	day	flower	Aug16	Aug 16 2018	2018-08-16	9012018	2018-09-01			
23	A188DredoAug16renamed_09022018.qgd	A188DredoAug16renamed	2018	perc			agg	A		188Dredo	A188redo	nm	day	day	flower	Aug16renamed	Aug 16 2018	2018-08-16	9022018	2018-09-02			
26	A198DAug16_09012018.qgd	A198DAug16	2018	perc			agg	A		198D	A198		day	day	flower	Aug16	Aug 16 2018	2018-08-16	9012018	2018-09-01			
30	A200DAug16_09012018.qgd	A200DAug16	2018	perc			agg	A		200D	A200		day	day	flower	Aug16	Aug 16 2018	2018-08-16	9012018	2018-09-01			
152	T132DAug16_09012018.qgd	T132DAug16	2018	perc			ten	T		132D	T132		day	day	flower	Aug16	Aug 16 2018	2018-08-16	9012018	2018-09-01			
156	T145DAug16_09012018.qgd	T145DAug16	2018	perc			ten	T		145D	T145		day	day	flower	Aug16	Aug 16 2018	2018-08-16	9012018	2018-09-01			
162	T167DAug16_09012018.qgd	T167DAug16	2018	perc			ten	T		167D	T167		day	day	flower	Aug16	Aug 16 2018	2018-08-16	9012018	2018-09-01			
168	T186DAug16_09012018.qgd	T186DAug16	2018	perc			ten	T		186D	T186		day	day	flower	Aug16	Aug 16 2018	2018-08-16	9012018	2018-09-01			
173	T196DAug16_09012018.qgd	T196DAug16	2018	perc			ten	T		196D	T196		day	day	flower	Aug16	Aug 16 2018	2018-08-16	9012018	2018-09-01			
175	T196DredoAug16_09022018.qgd	T196DredoAug16	2018	perc			ten	T		196Dredo	T196redo	nm	day	day	flower	Aug16	Aug 16 2018	2018-08-16	9022018	2018-09-02			
178	T72DAug16_09012018.qgd	T72DAug16	2018	perc			ten	T		72D	T72		day	day	flower	Aug16	Aug 16 2018	2018-08-16	9012018	2018-09-01			
148	T119DAug17_08312018.qgd	T119DAug17	2018	perc			ten	T		119D	T119		day	day	flower	Aug17	Aug 17 2018	2018-08-16	8312018	2018-08-31			
219	AirC10_1907231_882019_18.qgd	AirC10	2019	perc		cool		Air		AirC10	AirC10			day	air	1907231	07-23-19	2019-07-31	882019	2019-08-08	18		
227	AirW10_1907231_882019_14.qgd	AirW10	2019	perc		warm		Air		AirW10	AirW10			day	air	1907231	07-23-19	2019-07-31	882019	2019-08-08	14		
183	A15_leaf_1907231_882019_15.qgd	A15	2019	perc			agg	A		A15	A15		leaf	day	leaf	1907231	07-23-19	2019-07-31	882019	2019-08-08	15		
191	A54_leaf_1907231_882019_17.qgd	A54	2019	perc			agg	A		A54	A54		leaf	day	leaf	1907231	07-23-19	2019-07-31	882019	2019-08-08	17		
199	A79_leaf_1907231_882019_19.qgd	A79	2019	perc			agg	A		A79	A79		leaf	day	leaf	1907231	07-23-19	2019-07-31	882019	2019-08-08	19		
381	T19_leaf_1907231_882019_16.qgd	T19	2019	perc			ten	T		T19	T119		leaf	day	leaf	1907231	07-23-19	2019-07-31	882019	2019-08-08	16		
218	AirC1_night_190724_862019_14.qgd	AirC1	2019	perc		cool		Air		AirC1	AirC1		night	night	air	190724	07-24-19	2019-07-24	862019	2019-08-06	14		
220	AirC2_night_190724_872019_17.qgd	AirC2	2019	perc		cool		Air		AirC2	AirC2		night	night	air	190724	07-24-19	2019-07-24	872019	2019-08-07	17		
226	AirW1_night_190724_862019_13.qgd	AirW1	2019	perc		warm		Air		AirW1	AirW1		night	night	air	190724	07-24-19	2019-07-25	862019	2019-08-06	13		
228	AirW2_night_190724_872019_14.qgd	AirW2	2019	perc		warm		Air		AirW2	AirW2		night	night	air	190724	07-24-19	2019-07-25	872019	2019-08-07	14		
186	A32_night_190724_872019_08.qgd	A32	2019	perc			agg	A		A32	A32		night	night	flower	190724	07-24-19	2019-07-25	872019	2019-08-07	8		
188	A38_night_190724_872019_05.qgd	A38	2019	perc			agg	A		A38	A38		night	night	flower	190724	07-24-19	2019-07-25	872019	2019-08-07	5		
192	A54_night_190724_862019_18.qgd	A54	2019	perc			agg	A		A54	A54		night	night	flower	190724	07-24-19	2019-07-25	862019	2019-08-06	18		
197	A78_night_190724_872019_13.qgd	A78	2019	perc			agg	A		A78	A78		night	night	flower	190724	07-24-19	2019-07-25	872019	2019-08-07	13		
206	A91_night_190724_872019_04.qgd	A91	2019	perc			agg	A		A91	A91		night	night	flower	190724	07-24-19	2019-07-24	872019	2019-08-07	4		
208	A92_night_190724_872019_09.qgd	A92	2019	perc			agg	A		A92	A92		night	night	flower	190724	07-24-19	2019-07-24	872019	2019-08-07	9		
360	T119_night_190724_872019_07.qgd	T119	2019	perc			ten	T		T119	T119		night	night	flower	190724	07-24-19	2019-07-24	872019	2019-08-07	7		
362	T128_night_190724_872019_10.qgd	T128	2019	perc			ten	T		T128	T128		night	night	flower	190724	07-24-19	2019-07-24	872019	2019-08-07	10		
364	T139_night_190724_862019_17.qgd	T139	2019	perc			ten	T		T139	T139		night	night	flower	190724	07-24-19	2019-07-24	862019	2019-08-06	17		
367	T141_night_190724_872019_06.qgd	T141	2019	perc			ten	T		T141	T141		night	night	flower	190724	07-24-19	2019-07-25	872019	2019-08-07	6		
368	T141redo_night_190724_872019_16.qgd	T141redo	2019	perc			ten	T		T141redo	T141redo		night	night	flower	190724	07-24-19	2019-07-25	872019	2019-08-07	16		
370	T144_night_190724_872019_15.qgd	T144	2019	perc			ten	T		T144	T144		night	night	flower	190724	07-24-19	2019-07-25	872019	2019-08-07	15		
373	T164_night_190724_862019_15.qgd	T164	2019	perc			ten	T		T164	T164		night	night	flower	190724	07-24-19	2019-07-25	862019	2019-08-06	15		
376	T173_night_190724_862019_16.qgd	T173	2019	perc			ten	T		T173	T173		night	night	flower	190724	07-24-19	2019-07-24	862019	2019-08-06	16		
378	T176_night_190724_872019_11.qgd	T176	2019	perc			ten	T		T176	T176		night	night	flower	190724	07-24-19	2019-07-25	872019	2019-08-07	11		
383	T193_night_190724_872019_12.qgd	T193	2019	perc			ten	T		T193	T193		night	night	flower	190724	07-24-19	2019-07-24	872019	2019-08-07	12		
221	AirC3_day_190725_862019_02.qgd	AirC3	2019	perc		cool		Air		AirC3	AirC3		day	day	air	190725	07-25-19	2019-07-25	862019	2019-08-06	2		
222	AirC4_day_190725_862019_06.qgd	AirC4	2019	perc		cool		Air		AirC4	AirC4		day	day	air	190725	07-25-19	2019-07-25	862019	2019-08-06	6		
229	AirW3_day_190725_862019_03.qgd	AirW3	2019	perc		warm		Air		AirW3	AirW3		day	day	air	190725	07-25-19	2019-07-25	862019	2019-08-06	3		
230	AirW4_day_190725_862019_08.qgd	AirW4	2019	perc		warm		Air		AirW4	AirW4		day	day	air	190725	07-25-19	2019-07-29	862019	2019-08-06	8		
185	A32_day_190725_862019_11.qgd	A32	2019	perc			agg	A		A32	A32		day	day	flower	190725	07-25-19	2019-07-25	862019	2019-08-06	11		
