Filename,Batch,Maxfield,Year,Filename2,RunDate,Seq,Notes
1D33_200722_792021_33.qgd,maxfield210709.txt,1,,1D31_200722_792021_34.qgd,,33,after skip
1D31_200722_792021_34.qgd,maxfield210709.txt,1,,1C60_200722_792021_35.qgd,,34,after skip
1C60_200722_792021_35.qgd,maxfield210709.txt,1,,1C63_200722_792021_36.qgd,,35,after skip
1A251_200722_7112021_02.qgd,maxfield210711.txt,1,,,,2,
1B650A_200722_7112021_03.qgd,maxfield210711.txt,1,,,,3,
1B653_200722_7112021_04.qgd,maxfield210711.txt,1,,,,4,
1B656_200722_7112021_05.qgd,maxfield210711.txt,1,,,,5,
1B672_200722_7112021_06.qgd,maxfield210711.txt,1,,,,6,
1B650B_200722_7112021_07.qgd,maxfield210711.txt,1,,,,7,
3A636_200722_7112021_08.qgd,maxfield210711.txt,1,,,,8,
3A273_200722_7112021_09.qgd,maxfield210711.txt,1,,,,9,
3Aair_200722_7112021_10.qgd,maxfield210711.txt,1,,,,10,
2C270_200722_7112021_11.qgd,maxfield210711.txt,1,,,,11,
2C277_200722_7112021_12.qgd,maxfield210711.txt,1,,,,12,
2C274_200722_7112021_13.qgd,maxfield210711.txt,1,,,,13,
2C289_200722_7112021_14.qgd,maxfield210711.txt,1,,,,14,
2C262_200722_7112021_15.qgd,maxfield210711.txt,1,,,,15,
2C297_200722_7112021_16.qgd,maxfield210711.txt,1,,,,16,
2C293_200722_7112021_17.qgd,maxfield210711.txt,1,,,,17,
2C292_200722_7112021_18.qgd,maxfield210711.txt,1,,,,18,
2B185_200722_7112021_19.qgd,maxfield210711.txt,1,,,,19,
2B188_200722_7112021_20.qgd,maxfield210711.txt,1,,,,20,
2B189_200722_7112021_22.qgd,maxfield210711.txt,1,,,,22,
2B186_200722_7112021_23.qgd,maxfield210711.txt,1,,,,23,
2B183_200722_7112021_24.qgd,maxfield210711.txt,1,,,,24,
2B190_200722_7112021_26.qgd,maxfield210711.txt,1,,,,26,
2B184_200722_7112021_27.qgd,maxfield210711.txt,1,,,,27,
2B81_200722_7112021_29.qgd,maxfield210711.txt,1,,,,29,
2B83_200722_7112021_30.qgd,maxfield210711.txt,1,,,,30,
2B89_200722_7112021_31.qgd,maxfield210711.txt,1,,,,31,
2B138_200722_7112021_32.qgd,maxfield210711.txt,1,,,,32,
2D219_200722_7112021_33.qgd,maxfield210711.txt,1,,,,33,
2D220_200722_7112021_34.qgd,maxfield210711.txt,1,,,,34,
2D194_200722_7112021_35.qgd,maxfield210711.txt,1,,,,35,
2D207_200722_7112021_36.qgd,maxfield210711.txt,1,,,,36,
4A124_200729_7122021_02.qgd,maxfield210712.txt,1,,,,2,
1B650A_200722_redo_7122021_03.qgd,maxfield210712.txt,1,,,,3,
4A101_200729_7122021_04.qgd,maxfield210712.txt,1,,,,4,
4A80_200729_7122021_05.qgd,maxfield210712.txt,1,,,,5,
4A85_200729_7122021_06.qgd,maxfield210712.txt,1,,,,6,
4A99_200729_7122021_07.qgd,maxfield210712.txt,1,,,,7,
3A636_200722_redo_7122021_08.qgd,maxfield210712.txt,1,,,,8,
4B594_200729_7122021_09.qgd,maxfield210712.txt,1,,,,9,
4C213_200729_7122021_10.qgd,maxfield210712.txt,1,,,,10,
4C187_200729_7122021_11.qgd,maxfield210712.txt,1,,,,11,
4C120_200729_7122021_12.qgd,maxfield210712.txt,1,,,,12,
4C195_200729_7122021_13.qgd,maxfield210712.txt,1,,,,13,
4D37_200729_7122021_15.qgd,maxfield210712.txt,1,,,,15,
5D247_200729_7122021_16.qgd,maxfield210712.txt,1,,,,16,
6D46_200729_7122021_17.qgd,maxfield210712.txt,1,,,,17,
6C96_200729_7122021_18.qgd,maxfield210712.txt,1,,,,18,
6C111_200729_7122021_19.qgd,maxfield210712.txt,1,,,,19,
6C116_200729_7122021_20.qgd,maxfield210712.txt,1,,,,20,
6C121_200729_7122021_22.qgd,maxfield210712.txt,1,,,,22,
6A145_200729_7122021_23.qgd,maxfield210712.txt,1,,,,23,
6A136_200729_7122021_24.qgd,maxfield210712.txt,1,,,,24,
6D59_200729_7122021_25.qgd,maxfield210712.txt,1,,,,25,
6D64_200729_7122021_26.qgd,maxfield210712.txt,1,,,,26,
6D48_200729_7122021_27.qgd,maxfield210712.txt,1,,,,27,
5B289_200729_7122021_28.qgd,maxfield210712.txt,1,,,,28,
5B299_200729_7122021_29.qgd,maxfield210712.txt,1,,,,29,
5B296_200729_7122021_30.qgd,maxfield210712.txt,1,,,,30,
5C217_200729_7122021_31.qgd,maxfield210712.txt,1,,,,31,
5C683_200729_7122021_32.qgd,maxfield210712.txt,1,,,,32,
5C207_200729_7122021_33.qgd,maxfield210712.txt,1,,,,33,
5C208_200729_7122021_34.qgd,maxfield210712.txt,1,,,,34,
5Bair_200729_7122021_35.qgd,maxfield210712.txt,1,,,,35,
4B171_32_210709_792021_30.qgd,maxfield210709.txt,,2021,1D12_200722_792021_31.qgd,2021-07-09,30,after skip
Ihyb_12_210721_7282021_02.qgd,Ihyb_Corydalis_210728.txt,,2021,,,2,
Ihyb_17_210721_7282021_03.qgd,Ihyb_Corydalis_210728.txt,,2021,,,3,
Ihyb_19_210721_7282021_04.qgd,Ihyb_Corydalis_210728.txt,,2021,,,4,
Ihyb_5_210721_7282021_05.qgd,Ihyb_Corydalis_210728.txt,,2021,,,5,
Ihyb_8_210721_7282021_06.qgd,Ihyb_Corydalis_210728.txt,,2021,,,6,
Ihyb_6_210721_7282021_07.qgd,Ihyb_Corydalis_210728.txt,,2021,,,7,
Ihyb_7_210721_7282021_08.qgd,Ihyb_Corydalis_210728.txt,,2021,,,8,
Ihyb_13_210721_7282021_09.qgd,Ihyb_Corydalis_210728.txt,,2021,,,9,
Ihyb_14_210721_7282021_10.qgd,Ihyb_Corydalis_210728.txt,,2021,,,10,
Ihyb_15_210721_7282021_11.qgd,Ihyb_Corydalis_210728.txt,,2021,,,11,
Ihyb_16_210721_7282021_12.qgd,Ihyb_Corydalis_210728.txt,,2021,,,12,
Ihyb_4_210721_7282021_13.qgd,Ihyb_Corydalis_210728.txt,,2021,,,13,
Ihyb_2_210721_7282021_14.qgd,Ihyb_Corydalis_210728.txt,,2021,,,14,
Ihyb_3_210721_7282021_15.qgd,Ihyb_Corydalis_210728.txt,,2021,,,15,
Ihyb_1_210721_7282021_16.qgd,Ihyb_Corydalis_210728.txt,,2021,,,16,
Lagg_46_210715_7282021_17.qgd,Ihyb_Corydalis_210728.txt,,2021,,,17,
VF_2_210720_7282021_18.qgd,Ihyb_Corydalis_210728.txt,,2021,,,18,
SC_52_210715_7282021_19.qgd,Ihyb_Corydalis_210728.txt,,2021,,,19,
SC_53_210715_7282021_20.qgd,Ihyb_Corydalis_210728.txt,,2021,,,20,
Sterile_4_210721_7282021_22.qgd,Ihyb_Corydalis_210728.txt,,2021,,,22,
Yeast_5_210721_7282021_23.qgd,Ihyb_Corydalis_210728.txt,,2021,,,23,
Yeast_6_210721_7282021_24.qgd,Ihyb_Corydalis_210728.txt,,2021,,,24,
Yeast_7_210721_7282021_25.qgd,Ihyb_Corydalis_210728.txt,,2021,,,25,
Yeast_8_210721_7282021_26.qgd,Ihyb_Corydalis_210728.txt,,2021,,,26,
Yeast_10_210721_7282021_27.qgd,Ihyb_Corydalis_210728.txt,,2021,,,27,
Yeast_11_210721_7282021_28.qgd,Ihyb_Corydalis_210728.txt,,2021,,,28,
Sterile_5_210721_7282021_29.qgd,Ihyb_Corydalis_210728.txt,,2021,,,29,
Sterile_6_210721_7282021_30.qgd,Ihyb_Corydalis_210728.txt,,2021,,,30,
Sterile_8_210721_7282021_31.qgd,Ihyb_Corydalis_210728.txt,,2021,,,31,
Sterile_9_210721_7282021_32.qgd,Ihyb_Corydalis_210728.txt,,2021,,,32,
Sterile_10_210721_7282021_33.qgd,Ihyb_Corydalis_210728.txt,,2021,,,33,
Sterile_11_210721_7282021_34.qgd,Ihyb_Corydalis_210728.txt,,2021,,,34,
Veg_5_210721_7282021_35.qgd,Ihyb_Corydalis_210728.txt,,2021,,,35,
Ambient_6_210721_7282021_36.qgd,Ihyb_Corydalis_210728.txt,,2021,,,36,
SC_53_210715_7292021_17.qgd,Ihyb_Corydalis_210729.txt,,2021,,,17,
SC_66_210715_7292021_18.qgd,Ihyb_Corydalis_210729.txt,,2021,,,18,
SC_67_210715_7292021_19.qgd,Ihyb_Corydalis_210729.txt,,2021,,,19,
SC_68_210715_7292021_20.qgd,Ihyb_Corydalis_210729.txt,,2021,,,20,
Ambient_4_210719_redo_7292021_22.qgd,Ihyb_Corydalis_210729.txt,,2021,,,22,
M36_1_210721_redo_7292021_23.qgd,Ihyb_Corydalis_210729.txt,,2021,,,23,
Veg_4_210721_redo_7292021_24.qgd,Ihyb_Corydalis_210729.txt,,2021,,,24,
Sterile_6_210721_redo_7292021_25.qgd,Ihyb_Corydalis_210729.txt,,2021,,,25,
Sterile_8_210721_redo_7292021_26.qgd,Ihyb_Corydalis_210729.txt,,2021,,,26,
GNA_127_210730_7312021_02.qgd,Ihyb_Corydalis_210730.txt,,2021,,,2,
GNA_126_210730_7312021_03.qgd,Ihyb_Corydalis_210730.txt,,2021,,,3,
GNA_125_210730_7312021_04.qgd,Ihyb_Corydalis_210730.txt,,2021,,,4,
GNA_121_210730_7312021_05.qgd,Ihyb_Corydalis_210730.txt,,2021,,,5,
