"Plot Title: 21068393"
"#","Date Time, GMT-06:00","Intensity, Lux (LGR S/N: 21068393, SEN S/N: 21068393)","Max: Daily Temperature, °C (LGR S/N: 21068393)","Min: Daily Temperature, °C (LGR S/N: 21068393)","Avg: Hourly Temperature, °C (LGR S/N: 21068393)","Host Connected (LGR S/N: 21068393)","Coupler Attached (LGR S/N: 21068393)","Stopped (LGR S/N: 21068393)","End Of File (LGR S/N: 21068393)"
99,07/01/21 10:30:00 AM,10333.4,,,,,,,
100,07/01/21 11:00:00 AM,2325.0,,,24.633,,,,
101,07/01/21 11:30:00 AM,26178.0,,,,,,,
102,07/01/21 12:00:00 PM,23422.4,,,28.789,,,,
103,07/01/21 12:30:00 PM,9300.1,,,,,,,
104,07/01/21 01:00:00 PM,2411.1,,,18.759,,,,
105,07/01/21 01:30:00 PM,3616.7,,,,,,,
106,07/01/21 02:00:00 PM,14466.8,,,31.935,,,,
107,07/01/21 02:30:00 PM,8611.2,,,,,,,
108,07/01/21 03:00:00 PM,12400.1,,,32.755,,,,
109,07/01/21 03:30:00 PM,9644.5,,,,,,,
110,07/01/21 04:00:00 PM,8611.2,,,31.218,,,,
111,07/01/21 04:30:00 PM,8611.2,,,,,,,
112,07/01/21 05:00:00 PM,8611.2,,,28.360,,,,
113,07/01/21 05:30:00 PM,3616.7,,,,,,,
114,07/01/21 06:00:00 PM,7233.4,,,25.611,,,,
115,07/01/21 06:30:00 PM,4994.5,,,,,,,
116,07/01/21 07:00:00 PM,958.0,,,17.665,,,,
117,07/01/21 07:30:00 PM,624.3,,,,,,,
118,07/01/21 08:00:00 PM,398.3,,,12.926,,,,
119,07/01/21 08:30:00 PM,64.6,,,,,,,
120,07/01/21 09:00:00 PM,0.0,,,9.472,,,,
121,07/01/21 09:30:00 PM,0.0,,,,,,,
122,07/01/21 10:00:00 PM,0.0,,,10.060,,,,
123,07/01/21 10:30:00 PM,0.0,,,,,,,
124,07/01/21 11:00:00 PM,0.0,,,9.373,,,,
125,07/01/21 11:30:00 PM,0.0,,,,,,,
126,07/02/21 12:00:00 AM,0.0,31.370,1.221,9.226,,,,
127,07/02/21 12:30:00 AM,0.0,,,,,,,
128,07/02/21 01:00:00 AM,0.0,,,6.571,,,,
129,07/02/21 01:30:00 AM,0.0,,,,,,,
130,07/02/21 02:00:00 AM,0.0,,,5.037,,,,
131,07/02/21 02:30:00 AM,0.0,,,,,,,
132,07/02/21 03:00:00 AM,0.0,,,3.628,,,,
133,07/02/21 03:30:00 AM,0.0,,,,,,,
134,07/02/21 04:00:00 AM,0.0,,,2.303,,,,
135,07/02/21 04:30:00 AM,0.0,,,,,,,
136,07/02/21 05:00:00 AM,0.0,,,1.493,,,,
137,07/02/21 05:30:00 AM,0.0,,,,,,,
138,07/02/21 06:00:00 AM,75.3,,,1.438,,,,
139,07/02/21 06:30:00 AM,129.2,,,,,,,
140,07/02/21 07:00:00 AM,2152.8,,,6.718,,,,
141,07/02/21 07:30:00 AM,2755.6,,,,,,,
142,07/02/21 08:00:00 AM,3616.7,,,16.232,,,,
143,07/02/21 08:30:00 AM,4477.8,,,,,,,
144,07/02/21 09:00:00 AM,5166.7,,,24.069,,,,
145,07/02/21 09:30:00 AM,7233.4,,,,,,,
146,07/02/21 10:00:00 AM,9300.1,,,27.814,,,,
147,07/02/21 10:30:00 AM,13089.0,,,,,,,
148,07/02/21 11:00:00 AM,3100.0,,,25.146,,,,
149,07/02/21 11:30:00 AM,1636.1,,,,,,,
150,07/02/21 12:00:00 PM,2669.5,,,19.664,,,,
151,07/02/21 12:30:00 PM,2927.8,,,,,,,
152,07/02/21 01:00:00 PM,1980.6,,,16.802,,,,
153,07/02/21 01:30:00 PM,1022.6,,,,,,,
154,07/02/21 02:00:00 PM,2152.8,,,17.703,,,,
155,07/02/21 02:30:00 PM,12400.1,,,,,,,
156,07/02/21 03:00:00 PM,10677.8,,,29.955,,,,
157,07/02/21 03:30:00 PM,9300.1,,,,,,,
158,07/02/21 04:00:00 PM,8266.7,,,30.361,,,,
159,07/02/21 04:30:00 PM,6544.5,,,,,,,
160,07/02/21 05:00:00 PM,1302.4,,,19.901,,,,
161,07/02/21 05:30:00 PM,1356.3,,,,,,,
162,07/02/21 06:00:00 PM,2325.0,,,24.261,,,,
163,07/02/21 06:30:00 PM,5511.1,,,,,,,
164,07/02/21 07:00:00 PM,710.4,,,19.329,,,,
165,07/02/21 07:30:00 PM,925.7,,,,,,,
166,07/02/21 08:00:00 PM,301.4,,,14.612,,,,
167,07/02/21 08:30:00 PM,150.7,,,,,,,
168,07/02/21 09:00:00 PM,0.0,,,12.345,,,,
169,07/02/21 09:30:00 PM,0.0,,,,,,,
170,07/02/21 10:00:00 PM,0.0,,,10.207,,,,
171,07/02/21 10:30:00 PM,0.0,,,,,,,
172,07/02/21 11:00:00 PM,0.0,,,7.076,,,,
173,07/02/21 11:30:00 PM,0.0,,,,,,,
174,07/03/21 12:00:00 AM,0.0,33.014,0.232,5.293,,,,
175,07/03/21 12:30:00 AM,0.0,,,,,,,
176,07/03/21 01:00:00 AM,0.0,,,4.205,,,,
177,07/03/21 01:30:00 AM,0.0,,,,,,,
178,07/03/21 02:00:00 AM,0.0,,,3.314,,,,
179,07/03/21 02:30:00 AM,0.0,,,,,,,
180,07/03/21 03:00:00 AM,0.0,,,1.872,,,,
181,07/03/21 03:30:00 AM,0.0,,,,,,,
182,07/03/21 04:00:00 AM,0.0,,,1.221,,,,
183,07/03/21 04:30:00 AM,0.0,,,,,,,
184,07/03/21 05:00:00 AM,0.0,,,0.562,,,,
185,07/03/21 05:30:00 AM,0.0,,,,,,,
186,07/03/21 06:00:00 AM,75.3,,,0.783,,,,
187,07/03/21 06:30:00 AM,139.9,,,,,,,
188,07/03/21 07:00:00 AM,2152.8,,,6.560,,,,
189,07/03/21 07:30:00 AM,2927.8,,,,,,,
190,07/03/21 08:00:00 AM,3616.7,,,16.232,,,,
191,07/03/21 08:30:00 AM,4477.8,,,,,,,
192,07/03/21 09:00:00 AM,5511.1,,,19.523,,,,
193,07/03/21 09:30:00 AM,1151.7,,,,,,,
194,07/03/21 10:00:00 AM,8266.7,,,29.051,,,,
195,07/03/21 10:30:00 AM,12400.1,,,,,,,
196,07/03/21 11:00:00 AM,3444.5,,,31.932,,,,
197,07/03/21 11:30:00 AM,2927.8,,,,,,,
198,07/03/21 12:00:00 PM,1894.5,,,29.118,,,,
199,07/03/21 12:30:00 PM,2583.4,,,,,,,
200,07/03/21 01:00:00 PM,15155.7,,,26.052,,,,
201,07/03/21 01:30:00 PM,2497.2,,,,,,,
202,07/03/21 02:00:00 PM,2927.8,,,25.718,,,,
203,07/03/21 02:30:00 PM,4994.5,,,,,,,
204,07/03/21 03:00:00 PM,11711.2,,,28.277,,,,
205,07/03/21 03:30:00 PM,4822.3,,,,,,,
206,07/03/21 04:00:00 PM,5338.9,,,29.073,,,,
207,07/03/21 04:30:00 PM,7577.8,,,,,,,
208,07/03/21 05:00:00 PM,6544.5,,,29.904,,,,
209,07/03/21 05:30:00 PM,6544.5,,,,,,,
210,07/03/21 06:00:00 PM,5511.1,,,24.691,,,,
211,07/03/21 06:30:00 PM,4822.3,,,,,,,
212,07/03/21 07:00:00 PM,484.4,,,16.806,,,,
213,07/03/21 07:30:00 PM,236.8,,,,,,,
214,07/03/21 08:00:00 PM,139.9,,,10.598,,,,
215,07/03/21 08:30:00 PM,53.8,,,,,,,
216,07/03/21 09:00:00 PM,0.0,,,8.480,,,,
217,07/03/21 09:30:00 PM,0.0,,,,,,,
218,07/03/21 10:00:00 PM,0.0,,,7.379,,,,
219,07/03/21 10:30:00 PM,0.0,,,,,,,
220,07/03/21 11:00:00 PM,0.0,,,5.652,,,,
221,07/03/21 11:30:00 PM,0.0,,,,,,,
222,07/04/21 12:00:00 AM,0.0,39.163,-0.437,3.152,,,,
223,07/04/21 12:30:00 AM,0.0,,,,,,,
224,07/04/21 01:00:00 AM,0.0,,,2.087,,,,
225,07/04/21 01:30:00 AM,0.0,,,,,,,
226,07/04/21 02:00:00 AM,0.0,,,1.924,,,,
227,07/04/21 02:30:00 AM,0.0,,,,,,,
228,07/04/21 03:00:00 AM,0.0,,,0.893,,,,
229,07/04/21 03:30:00 AM,0.0,,,,,,,
230,07/04/21 04:00:00 AM,0.0,,,0.564,,,,
231,07/04/21 04:30:00 AM,0.0,,,,,,,
232,07/04/21 05:00:00 AM,0.0,,,-0.101,,,,
233,07/04/21 05:30:00 AM,0.0,,,,,,,
234,07/04/21 06:00:00 AM,75.3,,,0.063,,,,
235,07/04/21 06:30:00 AM,150.7,,,,,,,
236,07/04/21 07:00:00 AM,2238.9,,,5.846,,,,
237,07/04/21 07:30:00 AM,2927.8,,,,,,,
238,07/04/21 08:00:00 AM,3616.7,,,16.898,,,,
239,07/04/21 08:30:00 AM,4477.8,,,,,,,
240,07/04/21 09:00:00 AM,5166.7,,,25.865,,,,
241,07/04/21 09:30:00 AM,7577.8,,,,,,,
242,07/04/21 10:00:00 AM,2238.9,,,25.408,,,,
243,07/04/21 10:30:00 AM,4994.5,,,,,,,
244,07/04/21 11:00:00 AM,20666.8,,,35.996,,,,
245,07/04/21 11:30:00 AM,28933.5,,,,,,,
246,07/04/21 12:00:00 PM,22044.6,,,35.317,,,,
247,07/04/21 12:30:00 PM,2238.9,,,,,,,
248,07/04/21 01:00:00 PM,20666.8,,,34.322,,,,
249,07/04/21 01:30:00 PM,18600.1,,,,,,,
250,07/04/21 02:00:00 PM,2583.4,,,30.928,,,,
251,07/04/21 02:30:00 PM,3444.5,,,,,,,
252,07/04/21 03:00:00 PM,2755.6,,,32.781,,,,
253,07/04/21 03:30:00 PM,2152.8,,,,,,,
254,07/04/21 04:00:00 PM,9644.5,,,29.348,,,,
255,07/04/21 04:30:00 PM,8266.7,,,,,,,
256,07/04/21 05:00:00 PM,1054.9,,,27.912,,,,
257,07/04/21 05:30:00 PM,6544.5,,,,,,,
258,07/04/21 06:00:00 PM,581.3,,,23.874,,,,
259,07/04/21 06:30:00 PM,4994.5,,,,,,,
260,07/04/21 07:00:00 PM,839.6,,,20.188,,,,
261,07/04/21 07:30:00 PM,322.9,,,,,,,
262,07/04/21 08:00:00 PM,204.5,,,16.046,,,,
263,07/04/21 08:30:00 PM,64.6,,,,,,,
264,07/04/21 09:00:00 PM,0.0,,,12.739,,,,
265,07/04/21 09:30:00 PM,0.0,,,,,,,
266,07/04/21 10:00:00 PM,0.0,,,9.813,,,,
267,07/04/21 10:30:00 PM,0.0,,,,,,,
268,07/04/21 11:00:00 PM,0.0,,,8.431,,,,
269,07/04/21 11:30:00 PM,0.0,,,,,,,
270,07/05/21 12:00:00 AM,0.0,35.222,1.439,7.430,,,,
271,07/05/21 12:30:00 AM,0.0,,,,,,,
272,07/05/21 01:00:00 AM,0.0,,,6.723,,,,
273,07/05/21 01:30:00 AM,0.0,,,,,,,
274,07/05/21 02:00:00 AM,0.0,,,4.467,,,,
275,07/05/21 02:30:00 AM,0.0,,,,,,,
276,07/05/21 03:00:00 AM,0.0,,,3.312,,,,
277,07/05/21 03:30:00 AM,0.0,,,,,,,
278,07/05/21 04:00:00 AM,0.0,,,2.355,,,,
279,07/05/21 04:30:00 AM,0.0,,,,,,,
280,07/05/21 05:00:00 AM,0.0,,,1.547,,,,
281,07/05/21 05:30:00 AM,0.0,,,,,,,
282,07/05/21 06:00:00 AM,86.1,,,1.818,,,,
283,07/05/21 06:30:00 AM,161.5,,,,,,,
284,07/05/21 07:00:00 AM,2238.9,,,7.519,,,,
285,07/05/21 07:30:00 AM,2755.6,,,,,,,
286,07/05/21 08:00:00 AM,3616.7,,,18.330,,,,
287,07/05/21 08:30:00 AM,4477.8,,,,,,,
288,07/05/21 09:00:00 AM,5166.7,,,26.353,,,,
289,07/05/21 09:30:00 AM,6544.5,,,,,,,
290,07/05/21 10:00:00 AM,8266.7,,,31.881,,,,
291,07/05/21 10:30:00 AM,2325.0,,,,,,,
292,07/05/21 11:00:00 AM,15155.7,,,30.465,,,,
293,07/05/21 11:30:00 AM,28933.5,,,,,,,
294,07/05/21 12:00:00 PM,1044.1,,,16.857,,,,
295,07/05/21 12:30:00 PM,3616.7,,,,,,,
296,07/05/21 01:00:00 PM,1808.3,,,11.037,,,,
297,07/05/21 01:30:00 PM,376.7,,,,,,,
298,07/05/21 02:00:00 PM,1550.0,,,11.137,,,,
299,07/05/21 02:30:00 PM,549.0,,,,,,,
300,07/05/21 03:00:00 PM,2497.2,,,14.659,,,,
301,07/05/21 03:30:00 PM,2927.8,,,,,,,
302,07/05/21 04:00:00 PM,3100.0,,,21.713,,,,
303,07/05/21 04:30:00 PM,7233.4,,,,,,,
304,07/05/21 05:00:00 PM,1894.5,,,16.425,,,,
305,07/05/21 05:30:00 PM,1550.0,,,,,,,
306,07/05/21 06:00:00 PM,796.5,,,14.756,,,,
307,07/05/21 06:30:00 PM,818.1,,,,,,,
308,07/05/21 07:00:00 PM,215.3,,,13.024,,,,
309,07/05/21 07:30:00 PM,64.6,,,,,,,
310,07/05/21 08:00:00 PM,10.8,,,10.357,,,,
311,07/05/21 08:30:00 PM,0.0,,,,,,,
312,07/05/21 09:00:00 PM,0.0,,,9.570,,,,
313,07/05/21 09:30:00 PM,0.0,,,,,,,
314,07/05/21 10:00:00 PM,0.0,,,8.779,,,,
315,07/05/21 10:30:00 PM,0.0,,,,,,,
316,07/05/21 11:00:00 PM,0.0,,,8.829,,,,
317,07/05/21 11:30:00 PM,0.0,,,,,,,
318,07/06/21 12:00:00 AM,0.0,35.009,2.837,8.181,,,,
319,07/06/21 12:30:00 AM,0.0,,,,,,,
320,07/06/21 01:00:00 AM,0.0,,,6.773,,,,
321,07/06/21 01:30:00 AM,0.0,,,,,,,
322,07/06/21 02:00:00 AM,0.0,,,5.294,,,,
323,07/06/21 02:30:00 AM,0.0,,,,,,,
324,07/06/21 03:00:00 AM,0.0,,,4.415,,,,
325,07/06/21 03:30:00 AM,0.0,,,,,,,
326,07/06/21 04:00:00 AM,0.0,,,3.102,,,,
327,07/06/21 04:30:00 AM,0.0,,,,,,,
328,07/06/21 05:00:00 AM,0.0,,,3.102,,,,
329,07/06/21 05:30:00 AM,0.0,,,,,,,
330,07/06/21 06:00:00 AM,64.6,,,3.365,,,,
331,07/06/21 06:30:00 AM,366.0,,,,,,,
332,07/06/21 07:00:00 AM,2238.9,,,8.506,,,,
333,07/06/21 07:30:00 AM,2497.2,,,,,,,
334,07/06/21 08:00:00 AM,2927.8,,,13.790,,,,
335,07/06/21 08:30:00 AM,3616.7,,,,,,,
336,07/06/21 09:00:00 AM,4305.6,,,20.139,,,,
337,07/06/21 09:30:00 AM,5338.9,,,,,,,
338,07/06/21 10:00:00 AM,3272.2,,,21.859,,,,
339,07/06/21 10:30:00 AM,9644.5,,,,,,,
340,07/06/21 11:00:00 AM,7233.4,,,23.581,,,,
341,07/06/21 11:30:00 AM,3616.7,,,,,,,
342,07/06/21 12:00:00 PM,24800.2,,,29.474,,,,
343,07/06/21 12:30:00 PM,14466.8,,,,,,,
344,07/06/21 01:00:00 PM,19977.9,,,31.091,,,,
345,07/06/21 01:30:00 PM,14466.8,,,,,,,
346,07/06/21 02:00:00 PM,13089.0,,,34.796,,,,
347,07/06/21 02:30:00 PM,11711.2,,,,,,,
348,07/06/21 03:00:00 PM,10333.4,,,32.242,,,,
349,07/06/21 03:30:00 PM,8611.2,,,,,,,
350,07/06/21 04:00:00 PM,7577.8,,,29.854,,,,
351,07/06/21 04:30:00 PM,6544.5,,,,,,,
352,07/06/21 05:00:00 PM,5511.1,,,28.357,,,,
353,07/06/21 05:30:00 PM,5511.1,,,,,,,
354,07/06/21 06:00:00 PM,5166.7,,,25.224,,,,
355,07/06/21 06:30:00 PM,4133.4,,,,,,,
356,07/06/21 07:00:00 PM,1097.9,,,18.949,,,,
357,07/06/21 07:30:00 PM,742.7,,,,,,,
358,07/06/21 08:00:00 PM,139.9,,,13.405,,,,
359,07/06/21 08:30:00 PM,53.8,,,,,,,
360,07/06/21 09:00:00 PM,0.0,,,10.845,,,,
361,07/06/21 09:30:00 PM,0.0,,,,,,,
362,07/06/21 10:00:00 PM,0.0,,,10.547,,,,
363,07/06/21 10:30:00 PM,0.0,,,,,,,
364,07/06/21 11:00:00 PM,0.0,,,11.285,,,,
365,07/06/21 11:30:00 PM,0.0,,,,,,,
366,07/07/21 12:00:00 AM,0.0,39.502,1.764,8.629,,,,
367,07/07/21 12:30:00 AM,0.0,,,,,,,
368,07/07/21 01:00:00 AM,0.0,,,7.581,,,,
369,07/07/21 01:30:00 AM,0.0,,,,,,,
370,07/07/21 02:00:00 AM,0.0,,,6.011,,,,
371,07/07/21 02:30:00 AM,0.0,,,,,,,
372,07/07/21 03:00:00 AM,0.0,,,4.519,,,,
373,07/07/21 03:30:00 AM,0.0,,,,,,,
374,07/07/21 04:00:00 AM,0.0,,,3.893,,,,
375,07/07/21 04:30:00 AM,0.0,,,,,,,
376,07/07/21 05:00:00 AM,0.0,,,2.728,,,,
377,07/07/21 05:30:00 AM,0.0,,,,,,,
378,07/07/21 06:00:00 AM,64.6,,,1.979,,,,
379,07/07/21 06:30:00 AM,107.6,,,,,,,
380,07/07/21 07:00:00 AM,2238.9,,,7.208,,,,
381,07/07/21 07:30:00 AM,2755.6,,,,,,,
382,07/07/21 08:00:00 AM,3444.5,,,16.996,,,,
383,07/07/21 08:30:00 AM,4305.6,,,,,,,
384,07/07/21 09:00:00 AM,5338.9,,,23.877,,,,
385,07/07/21 09:30:00 AM,6200.0,,,,,,,
386,07/07/21 10:00:00 AM,7577.8,,,28.658,,,,
387,07/07/21 10:30:00 AM,9644.5,,,,,,,
388,07/07/21 11:00:00 AM,13777.9,,,32.088,,,,
389,07/07/21 11:30:00 AM,23422.4,,,,,,,
390,07/07/21 12:00:00 PM,26178.0,,,34.910,,,,
391,07/07/21 12:30:00 PM,21355.7,,,,,,,
392,07/07/21 01:00:00 PM,19977.9,,,33.633,,,,
393,07/07/21 01:30:00 PM,20666.8,,,,,,,
394,07/07/21 02:00:00 PM,17911.2,,,35.393,,,,
395,07/07/21 02:30:00 PM,15155.7,,,,,,,
396,07/07/21 03:00:00 PM,14466.8,,,35.712,,,,
397,07/07/21 03:30:00 PM,3616.7,,,,,,,
398,07/07/21 04:00:00 PM,2669.5,,,23.438,,,,
399,07/07/21 04:30:00 PM,1722.2,,,,,,,
400,07/07/21 05:00:00 PM,8266.7,,,28.682,,,,
401,07/07/21 05:30:00 PM,2583.4,,,,,,,
402,07/07/21 06:00:00 PM,6544.5,,,27.638,,,,
403,07/07/21 06:30:00 PM,5511.1,,,,,,,
404,07/07/21 07:00:00 PM,1345.5,,,21.623,,,,
405,07/07/21 07:30:00 PM,398.3,,,,,,,
406,07/07/21 08:00:00 PM,139.9,,,12.636,,,,
407,07/07/21 08:30:00 PM,53.8,,,,,,,
408,07/07/21 09:00:00 PM,0.0,,,10.062,,,,
409,07/07/21 09:30:00 PM,0.0,,,,,,,
410,07/07/21 10:00:00 PM,0.0,,,8.827,,,,
411,07/07/21 10:30:00 PM,0.0,,,,,,,
412,07/07/21 11:00:00 PM,0.0,,,6.107,,,,
413,07/07/21 11:30:00 PM,0.0,,,,,,,
414,07/08/21 12:00:00 AM,0.0,40.300,1.112,5.190,,,,
415,07/08/21 12:30:00 AM,0.0,,,,,,,
416,07/08/21 01:00:00 AM,0.0,,,3.627,,,,
417,07/08/21 01:30:00 AM,0.0,,,,,,,
418,07/08/21 02:00:00 AM,0.0,,,2.517,,,,
419,07/08/21 02:30:00 AM,0.0,,,,,,,
420,07/08/21 03:00:00 AM,0.0,,,1.926,,,,
421,07/08/21 03:30:00 AM,0.0,,,,,,,
422,07/08/21 04:00:00 AM,0.0,,,1.818,,,,
423,07/08/21 04:30:00 AM,0.0,,,,,,,
424,07/08/21 05:00:00 AM,0.0,,,1.166,,,,
425,07/08/21 05:30:00 AM,0.0,,,,,,,
426,07/08/21 06:00:00 AM,96.9,,,1.979,,,,
427,07/08/21 06:30:00 AM,355.2,,,,,,,
428,07/08/21 07:00:00 AM,2755.6,,,7.712,,,,
429,07/08/21 07:30:00 AM,3272.2,,,,,,,
430,07/08/21 08:00:00 AM,3788.9,,,17.282,,,,
431,07/08/21 08:30:00 AM,4650.0,,,,,,,
432,07/08/21 09:00:00 AM,5166.7,,,25.374,,,,
433,07/08/21 09:30:00 AM,6544.5,,,,,,,
434,07/08/21 10:00:00 AM,8266.7,,,30.509,,,,
435,07/08/21 10:30:00 AM,10333.4,,,,,,,
436,07/08/21 11:00:00 AM,14466.8,,,33.225,,,,
437,07/08/21 11:30:00 AM,15844.5,,,,,,,
438,07/08/21 12:00:00 PM,26178.0,,,37.497,,,,
439,07/08/21 12:30:00 PM,6200.0,,,,,,,
440,07/08/21 01:00:00 PM,9300.1,,,33.761,,,,
441,07/08/21 01:30:00 PM,3272.2,,,,,,,
