"Plot Title: beta tank test"
"#","Date Time, GMT-06:00","Intensity, Lux (LGR S/N: 21068392, SEN S/N: 21068392)","Max: Daily Temperature, °C (LGR S/N: 21068392)","Min: Daily Temperature, °C (LGR S/N: 21068392)","Avg: Hourly Temperature, °C (LGR S/N: 21068392)","Host Connected (LGR S/N: 21068392)","Coupler Attached (LGR S/N: 21068392)","Stopped (LGR S/N: 21068392)","End Of File (LGR S/N: 21068392)"
1,06/29/21 12:00:00 AM,,39.729,7.582,,,,,
2,06/29/21 10:00:00 AM,2755.6,,,16.332,,,,
3,06/29/21 10:30:00 AM,3616.7,,,,,,,
4,06/29/21 11:00:00 AM,4650.0,,,19.188,,,,
5,06/29/21 11:30:00 AM,6544.5,,,,,,,
6,06/29/21 12:00:00 PM,11711.2,,,28.918,,,,
7,06/29/21 12:30:00 PM,7577.8,,,,,,,
8,06/29/21 01:00:00 PM,15155.7,,,30.935,,,,
9,06/29/21 01:30:00 PM,4822.3,,,,,,,
10,06/29/21 02:00:00 PM,5511.1,,,27.863,,,,
11,06/29/21 02:30:00 PM,8611.2,,,,,,,
12,06/29/21 03:00:00 PM,7233.4,,,23.342,,,,
13,06/29/21 03:30:00 PM,4822.3,,,,,,,
14,06/29/21 04:00:00 PM,4477.8,,,21.761,,,,
15,06/29/21 04:30:00 PM,4477.8,,,,,,,
16,06/29/21 05:00:00 PM,4650.0,,,27.029,,,,
17,06/29/21 05:30:00 PM,6544.5,,,,,,,
18,06/29/21 06:00:00 PM,775.0,,,13.168,,,,
19,06/29/21 06:30:00 PM,699.7,,,,,,,
20,06/29/21 07:00:00 PM,904.2,,,11.284,,,,
21,06/29/21 07:30:00 PM,172.2,,,,,,,
22,06/29/21 08:00:00 PM,53.8,,,9.618,,,,
23,06/29/21 08:30:00 PM,21.5,,,,,,,
24,06/29/21 09:00:00 PM,0.0,,,8.082,,,,
25,06/29/21 09:30:00 PM,0.0,,,,,,,
26,06/29/21 10:00:00 PM,0.0,,,7.832,,,,
27,06/29/21 10:30:00 PM,0.0,,,,,,,
28,06/29/21 11:00:00 PM,0.0,,,7.832,,,,
29,06/29/21 11:30:00 PM,0.0,,,,,,,
30,06/30/21 12:00:00 AM,0.0,41.341,3.261,7.228,,,,
31,06/30/21 12:30:00 AM,0.0,,,,,,,
32,06/30/21 01:00:00 AM,0.0,,,5.552,,,,
33,06/30/21 01:30:00 AM,0.0,,,,,,,
34,06/30/21 02:00:00 AM,0.0,,,4.986,,,,
35,06/30/21 02:30:00 AM,0.0,,,,,,,
36,06/30/21 03:00:00 AM,0.0,,,5.449,,,,
37,06/30/21 03:30:00 AM,0.0,,,,,,,
38,06/30/21 04:00:00 AM,0.0,,,4.207,,,,
39,06/30/21 04:30:00 AM,0.0,,,,,,,
40,06/30/21 05:00:00 AM,0.0,,,4.049,,,,
41,06/30/21 05:30:00 AM,0.0,,,,,,,
42,06/30/21 06:00:00 AM,75.3,,,3.472,,,,
43,06/30/21 06:30:00 AM,204.5,,,,,,,
44,06/30/21 07:00:00 AM,1550.0,,,6.744,,,,
45,06/30/21 07:30:00 AM,1722.2,,,,,,,
46,06/30/21 08:00:00 AM,4994.5,,,12.590,,,,
47,06/30/21 08:30:00 AM,3444.5,,,,,,,
48,06/30/21 09:00:00 AM,4822.3,,,17.045,,,,
49,06/30/21 09:30:00 AM,5511.1,,,,,,,
50,06/30/21 10:00:00 AM,16533.4,,,28.626,,,,
51,06/30/21 10:30:00 AM,6200.0,,,,,,,
52,06/30/21 11:00:00 AM,8266.7,,,23.533,,,,
53,06/30/21 11:30:00 AM,4477.8,,,,,,,
54,06/30/21 12:00:00 PM,5511.1,,,23.974,,,,
55,06/30/21 12:30:00 PM,6200.0,,,,,,,
56,06/30/21 01:00:00 PM,18600.1,,,33.573,,,,
57,06/30/21 01:30:00 PM,4650.0,,,,,,,
58,06/30/21 02:00:00 PM,13777.9,,,39.052,,,,
59,06/30/21 02:30:00 PM,10677.8,,,,,,,
60,06/30/21 03:00:00 PM,7233.4,,,38.379,,,,
61,06/30/21 03:30:00 PM,10677.8,,,,,,,
62,06/30/21 04:00:00 PM,5511.1,,,25.682,,,,
63,06/30/21 04:30:00 PM,3272.2,,,,,,,
64,06/30/21 05:00:00 PM,7233.4,,,21.330,,,,
65,06/30/21 05:30:00 PM,1011.8,,,,,,,
66,06/30/21 06:00:00 PM,3272.2,,,22.621,,,,
67,06/30/21 06:30:00 PM,1636.1,,,,,,,
