"","plant","plantid","order","plot","snow","plotid","temp","status_tagged","status_census21","seeds","fruits","fruits_split","aborts","fruits_fly_no_seeds","fruits_fly_with_seeds","seeds_fly","fruits_caterpillar","fruits_early_uncountable","flowers_buds","flowers_buds_collected_early","flowers_buds_collected_last","dates","seeds_per_fruit","fruits_aborted","seeds_est","fruits_with_seeds","fruits_nonaborted","flowers_est","prop_infested","prop_aborted","prop_nonaborted","seeds_per_flower"
"44","91","6C91",145,"6","normal","6C","warmed","V","V",12,3,1,3,0,0,0,0,0,0,0,0,1,4,3,16,4,5,8,0,0.375,0.625,2
"45","910","5D910",56,"5","early","5D","warmed","F","F",35,7,38,35,2,0,0,3,1,8,0,8,5,5,43,225.636363636364,45,88,131,0.0568181818181818,0.32824427480916,0.67175572519084,1.72241498959056
"46","911","5D911",54,"5","early","5D","control","F","F",184,15,15,10,4,0,0,0,0,0,0,0,4,12.2666666666667,10,368,30,49,59,0.0816326530612245,0.169491525423729,0.830508474576271,6.23728813559322
"47","912","6A912",58,"6","normal","6A","warmed","F","F",39,3,8,16,2,0,0,1,1,2,0,2,5,13,18,144.625,11,22,40,0.136363636363636,0.45,0.55,3.615625
"48","913","6C913",60,"6","normal","6C","control","F","F",76,13,23,24,8,0,0,0,0,0,0,0,5,5.84615384615385,24,210.461538461538,36,67,91,0.119402985074627,0.263736263736264,0.736263736263736,2.31276415891801
"49","914","4C914",48,"4","early","4C","warmed","F","F",5,1,0,12,0,0,0,1,0,1,0,1,3,5,13,5,1,2,15,0.5,0.866666666666667,0.133333333333333,0.333333333333333
"50","93","2B93",17,"2","early","2B","control","F","F",211,29,23,23,27,1,3,0,4,0,0,0,5,7.27586206896552,23,391.894827586207,53,103,126,0.271844660194175,0.182539682539683,0.817460317460317,3.11027640941434
"51","947","1B947",4,"1","normal","1B","control","F","F",0,0,0,1,0,0,0,0,0,0,0,0,1,NA,1,NA,0,0,1,NA,1,0,NA
"52","948","1C948",9,"1","normal","1C","control","F","F",58,13,21,32,9,0,0,2,2,0,0,0,5,4.46153846153846,32,153.763736263736,34,66,98,0.166666666666667,0.326530612244898,0.673469387755102,1.5690177169769
"53","949","1C949",10,"1","normal","1C","control","F","F",58,19,20,43,5,0,0,0,1,10,2,8,4,3.05263157894737,51,121.372631578947,39,64,117,0.078125,0.443478260869565,0.556521739130435,1.03737291947818
"54","95","6C95",63,"6","normal","6C","warmed","F","F",3,1,5,8,1,0,0,0,0,6,0,6,3,3,14,18,6,12,26,0.0833333333333333,0.538461538461538,0.461538461538462,0.692307692307692
"55","950","1B950",7,"1","normal","1B","warmed","F","F",55,6,7,0,9,1,5,2,0,0,0,0,4,9.16666666666667,0,124.166666666667,14,32,32,0.375,0,1,3.88020833333333
"56","951","1C951",14,"1","normal","1C","warmed","F","F",31,3,10,38,1,0,0,10,1,0,0,0,4,10.3333333333333,38,134.929487179487,13,34,72,0.323529411764706,0.527777777777778,0.472222222222222,1.87402065527066
"57","952","3B952",23,"3","normal","3B","control","F","F",58,12,14,39,1,0,0,1,0,8,0,8,4,4.83333333333333,47,125.666666666667,26,42,89,0.0476190476190476,0.528089887640449,0.471910112359551,1.41198501872659
"58","953","4B953",41,"4","early","4B","warmed","F","F",44,9,26,34,0,0,0,0,1,4,1,3,5,4.88888888888889,37,173.024154589372,35,61,99,0,0.377551020408163,0.622448979591837,1.74771873322598
"59","954","4B954",35,"4","early","4B","control","F","F",0,0,5,41,1,0,0,0,8,46,0,46,3,NA,87,NA,5,11,98,0.0909090909090909,0.887755102040816,0.112244897959184,NA
"60","955","4B955",36,"4","early","4B","control","F","F",83,10,2,15,3,0,0,0,0,3,0,3,4,8.3,18,99.6,12,17,35,0.176470588235294,0.514285714285714,0.485714285714286,2.84571428571429
"61","956","4B956",37,"4","early","4B","control","F","F",45,18,25,25,5,0,0,0,4,7,0,7,5,2.5,32,110.772727272727,43,73,105,0.0684931506849315,0.304761904761905,0.695238095238095,1.05497835497836
"62","957","4C957",45,"4","early","4C","control","F","F",59,7,10,12,5,0,0,0,0,0,0,0,4,8.42857142857143,12,143.285714285714,17,32,44,0.15625,0.272727272727273,0.727272727272727,3.25649350649351
