"Filename","Lead","Year","Type","Sample","DNLeaf","SampleDate","RunDate_text","RunDate","GCOrder"
"AirW14Aug16_09012018.qgd","AirW14Aug16",2018,"Air","W14",,"Aug16",9012018,2018-09-01,
"AirW1Aug10_08292018.qgd","AirW1Aug10",2018,"Air","W1",,"Aug10",8292018,2018-08-29,
"AirW2Aug10_08292018.qgd","AirW2Aug10",2018,"Air","W2",,"Aug10",8292018,2018-08-29,
"AirW3NAug10_08292018.qgd","AirW3NAug10",2018,"Air","W3N",,"Aug10",8292018,2018-08-29,
"AirW4Aug10_08302018.qgd","AirW4Aug10",2018,"Air","W4",,"Aug10",8302018,2018-08-30,
"Bake_08292018.qgd","Bake",2018,"Bake",,,,8292018,2018-08-29,
"Bake_09012018.qgd","Bake",2018,"Bake",,,,9012018,2018-09-01,
"BakerenamedJuly27_09022018.qgd","BakerenamedJuly27",2018,"Bake",,,"July27",9022018,2018-09-02,
"Blank_08302018.qgd","Blank",2018,"Blank",,,,8302018,2018-08-30,
"Blank_08312018.qgd","Blank",2018,"Blank",,,,8312018,2018-08-31,
"Blank_09012018.qgd","Blank",2018,"Blank",,,,9012018,2018-09-01,
"Blank_09022018.qgd","Blank",2018,"Blank",,,,9022018,2018-09-02,
"Blank2_08292018.qgd","Blank2",2018,"Blank",,,,8292018,2018-08-29,
"Blank2_08302018.qgd","Blank2",2018,"Blank",,,,8302018,2018-08-30,
"Blank2_08312018.qgd","Blank2",2018,"Blank",,,,8312018,2018-08-31,
"CWbb10July27_09012018.qgd","CWbb10July27",2018,"bb","10",,"July27",9012018,2018-09-01,
"CWbb123July27_09022018.qgd","CWbb123July27",2018,"bb","123",,"July27",9022018,2018-09-02,
"CWbb13July27renamed_09022018.qgd","CWbb13July27renamed",2018,"bb","13",,"July27renamed",9022018,2018-09-02,
"CWbb14renamedJuly27_09022018.qgd","CWbb14renamedJuly27",2018,"bb","14renamed",,"July27",9022018,2018-09-02,
"CWbb15renamedJuly27_09022018.qgd","CWbb15renamedJuly27",2018,"bb","15renamed",,"July27",9022018,2018-09-02,
"CWbb2July27_09022018.qgd","CWbb2July27",2018,"bb","2",,"July27",9022018,2018-09-02,
"CWbb348July27_09022018.qgd","CWbb348July27",2018,"bb","348",,"July27",9022018,2018-09-02,
"CWbb353July27_09022018.qgd","CWbb353July27",2018,"bb","353",,"July27",9022018,2018-09-02,
"CWbb3July27_09022018.qgd","CWbb3July27",2018,"bb","3",,"July27",9022018,2018-09-02,
"CWbb4July27_09022018.qgd","CWbb4July27",2018,"bb","4",,"July27",9022018,2018-09-02,
"CWbb5July27_09022018.qgd","CWbb5July27",2018,"bb","5",,"July27",9022018,2018-09-02,
"CWbb6July27_09022018.qgd","CWbb6July27",2018,"bb","6",,"July27",9022018,2018-09-02,
"CWbb9July27_09012018.qgd","CWbb9July27",2018,"bb","9",,"July27",9012018,2018-09-01,
"CWF1July27_09022018.qgd","CWF1July27",2018,"F","1",,"July27",9022018,2018-09-02,
"CWF2July27_09022018.qgd","CWF2July27",2018,"F","2",,"July27",9022018,2018-09-02,
"CWF3July27_09022018.qgd","CWF3July27",2018,"F","3",,"July27",9022018,2018-09-02,
"CWG1July27_09022018.qgd","CWG1July27",2018,"G","1",,"July27",9022018,2018-09-02,
"CWG2July27_09022018.qgd","CWG2July27",2018,"G","2",,"July27",9022018,2018-09-02,
"CWG3July27_09022018.qgd","CWG3July27",2018,"G","3",,"July27",9022018,2018-09-02,
"CWH1July27_09022018.qgd","CWH1July27",2018,"H","1",,"July27",9022018,2018-09-02,
"CWH1LeafJuly27_09022018.qgd","CWH1LeafJuly27",2018,"H","1Leaf",,"July27",9022018,2018-09-02,
"CWI1July27_09012018.qgd","CWI1July27",2018,"I","1",,"July27",9012018,2018-09-01,
"CWI2July27_09022018.qgd","CWI2July27",2018,"I","2",,"July27",9022018,2018-09-02,
"CWI3July27_09022018.qgd","CWI3July27",2018,"I","3",,"July27",9022018,2018-09-02,
"CWJ1renamedJuly27_09022018.qgd","CWJ1renamedJuly27",2018,"J","1renamed",,"July27",9022018,2018-09-02,
"CWJ2renamedJuly27_09022018.qgd","CWJ2renamedJuly27",2018,"J","2renamed",,"July27",9022018,2018-09-02,
"CWJ3renamedJuly27_09022018.qgd","CWJ3renamedJuly27",2018,"J","3renamed",,"July27",9022018,2018-09-02,
