date_collected,plot,subplot,plant,plantid,temp,VWC,per_us,wet_weight_g,dry_weight_g,trichomes_RT,leaf_area_cm2,notes,trichome_density,sla,water_content
2021-06-25,5,B,939,5B939,OTC,17.6,,0.01109,0.00503,152,0.362,,420,72,55%
2021-06-25,5,B,295,5B295,OTC,11.3,,0.01280,0.00410,26,0.431,,60,105,68%
2021-06-25,5,B,938,5B938,control,10.8,,0.02977,0.00755,175,0.716,,244,95,75%
2021-06-25,5,B,937,5B937,control,10.8,,0.03060,0.01005,272,1.068,,255,106,67%
2021-06-25,5,B,10,5B10,control,18.5,,0.04078,0.01152,132,1.445,,91,125,72%
2021-06-25,5,B,936,5B936,control,5.9,,0.02006,0.00734,161,0.794,,203,108,63%
2021-06-25,5,D,935,5D935,OTC,15.1,,0.02454,0.00718,66,1.000,,66,139,71%
2021-06-25,5,D,934,5D934,OTC,10.2,,0.00922,0.00406,99,0.377,,263,93,56%
2021-06-25,5,D,271,5D271,OTC,17.3,,0.01682,0.00555,68,0.816,,83,147,67%
2021-06-25,5,D,274,5D274,OTC,13.9,,0.01254,0.00468,,0.598,,0,128,63%
2021-06-25,5,D,285,5D285,control,14.5,,0.06817,0.02046,,2.005,,0,98,70%
2021-06-25,5,D,244,5D244,control,7.7,,0.02413,0.00656,,0.665,,0,101,73%
2021-06-25,5,D,281,5D281,control,13.1,,0.06315,0.01514,,2.054,,0,136,76%
2021-06-25,5,D,254,5D254,control,11.5,,0.03557,0.00879,,0.725,ENVELOPE SAYS 254_20,0,82,75%
2021-06-25,6,A,169,6A169,control,17.9,,0.01317,0.00311,,0.512,,0,165,76%
2021-06-25,6,A,945,6A945,OTC,6.5,,0.01564,0.00456,,0.597,,0,131,71%
2021-06-25,6,A,944,6A944,OTC,7.4,,0.01142,0.00297,,0.425,,0,143,74%
2021-06-25,6,A,946,6A946,OTC,10.5,,0.02063,0.00535,,0.832,,0,156,74%
2021-06-25,6,A,159,6A159,control,17.9,,0.01944,0.00504,,0.623,,0,124,74%
2021-06-25,6,A,141,6A141,control,12.2,,0.04433,0.01184,,1.777,,0,150,73%
2021-06-25,6,A,168,6A168,control,11.9,,0.01488,0.00487,,0.655,,0,134,67%
2021-06-25,6,C,943,6C943,control,10.2,,0.01884,0.00497,,0.626,,0,126,74%
2021-06-25,6,C,117,6C117,control,8.3,,0.02264,0.00653,,0.647, ,0,99,71%
2021-06-25,6,C,942,6C942,control,10.7,,0.02589,0.00915,,0.990,,0,108,65%
2021-06-25,6,C,91,6C91,OTC,8.5,,0.03461,0.00704,,0.910,,0,129,80%
2021-06-25,6,C,941,6C941,control,4.5,,0.02485,0.00805,,0.776,,0,96,68%
2021-06-25,6,C,98,6C98,OTC,7.5,,0.03136,0.00928,,0.914,,0,98,70%
