,,,,#,(),+,0,F,F,F,C,E,B,
plot,subplot,plant,date,seeds,fruits,fruits_split,aborts,fruits_fly_no_seeds,fruits_fly_with_seeds,seeds_fly,fruits_caterpillar,fruits_early_uncountable,flowers_buds,notes
3,D,895,2021-08-02,,,1,,,,,,,,
3,D,888,2021-08-16,9,2,5,,,,,,,,
3,D,888,2021-07-26,,,5,,,,,,,,? after date
3,D,888,2021-08-02,23,3,1,1,1,,,,,,
3,D,888,2021-08-09,2,1,2,3,,,,,,,
3,D,888,2021-08-23,18,5,9,13,,,,,,3,Final
3,D,891,2021-08-16,,,2,,,,,,,,
3,D,894,2021-08-16,,,,,,,,3,,,
3,D,894,2021-07-26,44,6,3,1,1,,,,,,
3,D,255,2021-08-02,1,1,,,,,,,,,
3,D,255,2021-08-09,,,1,,,,,,,,
3,D,255,2021-08-23,,,,30,,,,,,8,Final
4,C,627,2021-08-16,46,5,1,7,2,,,,1,,5 seeds in early fruit
4,C,627,2021-08-02,,,,,2,,,,,,
4,C,627,2021-08-09,8,1,1,,,1,5,,,,5 seeds in fly fruit
4,C,627,2021-08-23,14,3,1,10,,,,,,,Final
4,C,190,2021-08-16,6,1,6,,1,,,,1,,
4,C,190,2021-07-26,,,2,,5,,,,,,
4,C,190,2021-08-02,4,1,4,1,10,,,,,,
4,C,190,2021-08-09,,,4,,,,,,,,
4,C,190,2021-08-23,,,,8,,,,,,,Final
4,C,957,2021-08-16,3,1,3,10,,,,,,,Final
4,C,957,2021-07-26,52,5,2,,2,,,,,,
4,C,957,2021-08-02,4,1,2,2,3,,,,,,
4,C,957,2021-08-09,,,3,,,,,,,,
4,C,120,2021-07-26,10,1,,,,,,,,,
4,C,120,2021-08-02,2,1,2,,4,,,,,,
4,C,120,2021-08-09,,,5,,,,,,,,
4,C,120,2021-08-16,10,1,,18,,,,,,,Final
4,C,914,2021-08-02,,,,2,,,,1,,,
4,C,914,2021-08-16,,,,2,,,,,,,
4,C,914,2021-08-23,5,1,,8,,,,,,1,Final
4,C,108,2021-08-16,,,,8,,,,,,,
4,C,108,2021-08-23,14,2,1,20,,,,,,2,Final
4,C,106,2021-08-16,6,1,2,16,,,,,,,
4,C,106,2021-08-23,,,4,18,,,,,,,Final
4,B,956,2021-08-09,2,2,10,1,2,,,,,,
4,B,956,2021-08-02,11,2,,1,,,,,,,
4,B,956,2021-08-23,,,12,12,,,,,4,7,Final
4,B,956,2021-07-26,5,2,,,2,,,,,,
4,B,956,2021-08-16,27,12,3,11,1,,,,,,
4,B,955,2021-08-02,19,2,,,2,,,,,,
4,B,955,2021-08-23,,,2,7,,,,,,3,Final
4,B,955,2021-08-09,33,5,,,1,,,,,,
4,B,955,2021-08-16,31,3,,8,,,,,,,
4,B,173,2021-08-02,4,2,2,1,,,,,,,
4,B,173,2021-08-23,,,,12,,,,,,4,Final
4,B,173,2021-07-26,59,8,7,,5,,,,,1,
4,B,173,2021-08-16,,1,,6,,,,,,,
4,B,671,2021-08-02,17,4,,2,,,,,,,
4,B,168,2021-08-02,14,1,,12,,,,,,,
4,B,168,2021-07-26,9,1,,,,,,,,,
4,B,168,2021-08-09,,,1,,,,,,1,,Early fruit had 8 seeds 
4,B,168,2021-08-23,9,4,,14,,,,,,1,Final
4,B,953,2021-08-02,9,3,3,1,,,,,,1,
4,B,953,2021-07-26,3,,,,,,,,,,
4,B,953,2021-08-09,,,12,,,,,,,,
4,B,953,2021-08-16,10,1,5,8,,,,,,,
4,B,953,2021-08-23,22,5,6,25,,,,,1,3,Final
4,B,204,2021-08-02,20,2,,3,,,,,,,
4,B,204,2021-08-09,20,2,2,,1,,,,,1,
4,B,204,2021-08-16,5,1,1,,,,,,1,,Early fruit had 6 seeds
4,B,204,2021-08-27,2,1,,15,,,,,,5,Final
4,B,190,2021-08-23,,,1,10,,,,,2,1,Final
4,B,190,2021-08-09,,,1,,,,,,,,
4,B,190,2021-08-16,,,,1,1,,,,,,
4,B,954,2021-08-23,,,4,,,,,,,,
4,B,954,2021-08-09,,,1,,1,,,,,,
4,B,954,2021-08-27,,,,41,,,,,8,46,"Final; one early fruit with 3 seeds, one early fruit with 5 seeds"
4,B,171,2021-07-26,29,2,,,,,,,,,
4,B,171,2021-08-09,,,16,,3,,,,,,
4,B,171,2021-08-16,57,12,3,13,,,,,,,
4,B,171,2021-08-23,22,9,7,26,,,,,1,,Final; early fruit with 2 seeds
4,B,165,2021-07-26,22,3,1,,,,,,,,
4,B,175,2021-08-09,,4,,2,,,,,,,
4,B,203,2021-08-23,,,,0,,,,,1,24,Late flowerer?
5,B,7,2021-08-02,,,3,11,,,,,,,"Final; John- no seeds in these three fruits? JP: looks like the seeds were not recorded, so turned the three fruits into splits (unknown seed number)"
5,B,7,2021-07-26,46,6,,,1,,,,,,
5,B,907,2021-07-26,46,4,,,5,,,,,,
5,B,907,2021-08-02,36,10,10,,9,,,4,,,
5,B,907,2021-08-09,5,2,19,,1,,,,,,
5,B,907,2021-08-16,,,5,4,1,,,,,,
5,B,907,2021-08-23,,,4,6,,,,,,,Final
5,B,908,2021-07-26,15,3,2,,3,,,,,,
5,B,908,2021-08-02,37,7,1,,3,,,,,,
5,B,908,2021-08-09,39,5,20,,,,,2,,,One C fruit with 3 seeds
5,B,908,2021-08-16,71,13,7,2,,,,,,,
5,B,908,2021-08-23,47,10,4,30,,,,2,1,3,Final
5,B,909,2021-08-02,10,1,,9,,,,,,,
5,B,909,2021-08-09,,,2,,,,,,,,
5,B,909,2021-08-16,,,1,4,,,,,,,
5,B,909,2021-08-23,4,1,,17,,,,1,,,Final
5,D,277,2021-08-02,1,1,2,21,,,,,,,
5,D,277,2021-07-26,35,3,16,,5,,,,,,
5,D,277,2021-08-16,,,,,,,,,,,"Final, nothing in envelope"
