"Plot Title: HOBO#7-10542008"
"#","Date Time, GMT-06:00","Intensity, Lux (LGR S/N: 10542008, SEN S/N: 10542008)","Avg: Hourly Temperature, °C (LGR S/N: 10542008)","Max: Daily Temperature, °C (LGR S/N: 10542008)","Min: Daily Temperature, °C (LGR S/N: 10542008)","End Of File (LGR S/N: 10542008)"
1,07/09/18 12:00:00 AM,,,30.356,23.869,
2,07/09/18 03:00:00 PM,0.0,28.953,,,
3,07/09/18 03:30:00 PM,0.0,,,,
4,07/09/18 04:00:00 PM,0.0,29.252,,,
5,07/09/18 04:30:00 PM,0.0,,,,
6,07/09/18 05:00:00 PM,0.0,30.104,,,
7,07/09/18 05:30:00 PM,0.0,,,,
8,07/09/18 06:00:00 PM,0.0,30.356,,,
9,07/09/18 06:30:00 PM,0.0,,,,
10,07/09/18 07:00:00 PM,0.0,30.154,,,
11,07/09/18 07:30:00 PM,0.0,,,,
12,07/09/18 08:00:00 PM,215.3,25.767,,,
13,07/09/18 08:30:00 PM,21.5,,,,
14,07/09/18 09:00:00 PM,43.1,25.563,,,
15,07/09/18 09:30:00 PM,21.5,,,,
16,07/09/18 10:00:00 PM,21.5,26.194,,,
17,07/09/18 10:30:00 PM,21.5,,,,
18,07/09/18 11:00:00 PM,0.0,25.659,,,
19,07/09/18 11:30:00 PM,0.0,,,,
20,07/10/18 12:00:00 AM,0.0,25.319,43.844,7.983,
21,07/10/18 12:30:00 AM,0.0,,,,
22,07/10/18 01:00:00 AM,0.0,24.834,,,
23,07/10/18 01:30:00 AM,0.0,,,,
24,07/10/18 02:00:00 AM,0.0,24.400,,,
25,07/10/18 02:30:00 AM,0.0,,,,
26,07/10/18 03:00:00 AM,0.0,23.918,,,
27,07/10/18 03:30:00 AM,0.0,,,,
28,07/10/18 04:00:00 AM,0.0,23.388,,,
29,07/10/18 04:30:00 AM,0.0,,,,
30,07/10/18 05:00:00 AM,0.0,22.908,,,
31,07/10/18 05:30:00 AM,0.0,,,,
32,07/10/18 06:00:00 AM,0.0,22.525,,,
33,07/10/18 06:30:00 AM,0.0,,,,
34,07/10/18 07:00:00 AM,0.0,22.238,,,
35,07/10/18 07:30:00 AM,53.8,,,,
36,07/10/18 08:00:00 AM,43.1,22.142,,,
37,07/10/18 08:30:00 AM,0.0,,,,
38,07/10/18 09:00:00 AM,96.9,18.759,,,
39,07/10/18 09:30:00 AM,6544.5,,,,
40,07/10/18 10:00:00 AM,1377.8,23.773,,,
41,07/10/18 10:30:00 AM,1313.2,,,,
42,07/10/18 11:00:00 AM,2238.9,20.764,,,
43,07/10/18 11:30:00 AM,1808.3,,,,
44,07/10/18 12:00:00 PM,4650.0,31.247,,,
45,07/10/18 12:30:00 PM,16533.4,,,,
46,07/10/18 01:00:00 PM,16533.4,41.957,,,
47,07/10/18 01:30:00 PM,14466.8,,,,
48,07/10/18 02:00:00 PM,2927.8,26.252,,,
49,07/10/18 02:30:00 PM,2497.2,,,,
50,07/10/18 03:00:00 PM,333.7,17.802,,,
51,07/10/18 03:30:00 PM,366.0,,,,
52,07/10/18 04:00:00 PM,322.9,12.739,,,
53,07/10/18 04:30:00 PM,1313.2,,,,
54,07/10/18 05:00:00 PM,2066.7,13.509,,,
55,07/10/18 05:30:00 PM,2152.8,,,,
56,07/10/18 06:00:00 PM,1033.3,13.797,,,
57,07/10/18 06:30:00 PM,1550.0,,,,
58,07/10/18 07:00:00 PM,1808.3,15.186,,,
59,07/10/18 07:30:00 PM,1054.9,,,,
60,07/10/18 08:00:00 PM,129.2,12.061,,,
61,07/10/18 08:30:00 PM,10.8,,,,
62,07/10/18 09:00:00 PM,0.0,11.089,,,
63,07/10/18 09:30:00 PM,0.0,,,,
64,07/10/18 10:00:00 PM,0.0,9.816,,,
65,07/10/18 10:30:00 PM,0.0,,,,
66,07/10/18 11:00:00 PM,0.0,8.182,,,
67,07/10/18 11:30:00 PM,0.0,,,,
68,07/11/18 12:00:00 AM,0.0,7.430,47.238,2.837,
69,07/11/18 12:30:00 AM,0.0,,,,
70,07/11/18 01:00:00 AM,0.0,5.910,,,
71,07/11/18 01:30:00 AM,0.0,,,,
72,07/11/18 02:00:00 AM,0.0,5.397,,,
73,07/11/18 02:30:00 AM,0.0,,,,
74,07/11/18 03:00:00 AM,0.0,5.244,,,
75,07/11/18 03:30:00 AM,0.0,,,,
76,07/11/18 04:00:00 AM,0.0,5.089,,,
77,07/11/18 04:30:00 AM,0.0,,,,
78,07/11/18 05:00:00 AM,0.0,3.260,,,
79,07/11/18 05:30:00 AM,0.0,,,,
80,07/11/18 06:00:00 AM,64.6,3.261,,,
81,07/11/18 06:30:00 AM,183.0,,,,
82,07/11/18 07:00:00 AM,301.4,4.206,,,
83,07/11/18 07:30:00 AM,366.0,,,,
84,07/11/18 08:00:00 AM,549.0,6.817,,,
85,07/11/18 08:30:00 AM,602.8,,,,
86,07/11/18 09:00:00 AM,936.5,10.404,,,
87,07/11/18 09:30:00 AM,1141.0,,,,
88,07/11/18 10:00:00 AM,11711.2,33.035,,,
89,07/11/18 10:30:00 AM,12400.1,,,,
90,07/11/18 11:00:00 AM,12400.1,44.819,,,
91,07/11/18 11:30:00 AM,14466.8,,,,
92,07/11/18 12:00:00 PM,14466.8,45.154,,,
93,07/11/18 12:30:00 PM,16533.4,,,,
94,07/11/18 01:00:00 PM,3272.2,38.752,,,
95,07/11/18 01:30:00 PM,18600.1,,,,
96,07/11/18 02:00:00 PM,4133.4,27.014,,,
97,07/11/18 02:30:00 PM,882.6,,,,
98,07/11/18 03:00:00 PM,753.5,19.805,,,
99,07/11/18 03:30:00 PM,3616.7,,,,
100,07/11/18 04:00:00 PM,5511.1,22.766,,,
101,07/11/18 04:30:00 PM,2411.1,,,,
102,07/11/18 05:00:00 PM,7233.4,27.537,,,
103,07/11/18 05:30:00 PM,5166.7,,,,
104,07/11/18 06:00:00 PM,4133.4,22.595,,,
105,07/11/18 06:30:00 PM,549.0,,,,
106,07/11/18 07:00:00 PM,452.1,16.237,,,
107,07/11/18 07:30:00 PM,409.0,,,,
108,07/11/18 08:00:00 PM,301.4,14.708,,,
109,07/11/18 08:30:00 PM,10.8,,,,
110,07/11/18 09:00:00 PM,0.0,12.736,,,
111,07/11/18 09:30:00 PM,0.0,,,,
112,07/11/18 10:00:00 PM,0.0,11.625,,,
113,07/11/18 10:30:00 PM,0.0,,,,
114,07/11/18 11:00:00 PM,0.0,10.698,,,
115,07/11/18 11:30:00 PM,0.0,,,,
116,07/12/18 12:00:00 AM,0.0,9.274,33.535,5.347,
117,07/12/18 12:30:00 AM,0.0,,,,
118,07/12/18 01:00:00 AM,0.0,8.181,,,
119,07/12/18 01:30:00 AM,0.0,,,,
120,07/12/18 02:00:00 AM,0.0,7.982,,,
121,07/12/18 02:30:00 AM,0.0,,,,
122,07/12/18 03:00:00 AM,0.0,7.832,,,
123,07/12/18 03:30:00 AM,0.0,,,,
124,07/12/18 04:00:00 AM,0.0,7.230,,,
125,07/12/18 04:30:00 AM,0.0,,,,
126,07/12/18 05:00:00 AM,0.0,6.775,,,
127,07/12/18 05:30:00 AM,0.0,,,,
128,07/12/18 06:00:00 AM,96.9,5.449,,,
129,07/12/18 06:30:00 AM,430.6,,,,
130,07/12/18 07:00:00 AM,818.1,8.078,,,
131,07/12/18 07:30:00 AM,1356.3,,,,
132,07/12/18 08:00:00 AM,893.4,9.273,,,
133,07/12/18 08:30:00 AM,1377.8,,,,
134,07/12/18 09:00:00 AM,2927.8,15.227,,,
135,07/12/18 09:30:00 AM,5511.1,,,,
136,07/12/18 10:00:00 AM,7577.8,25.343,,,
137,07/12/18 10:30:00 AM,10333.4,,,,
138,07/12/18 11:00:00 AM,7577.8,30.551,,,
139,07/12/18 11:30:00 AM,5511.1,,,,
140,07/12/18 12:00:00 PM,5511.1,27.809,,,
141,07/12/18 12:30:00 PM,3788.9,,,,
142,07/12/18 01:00:00 PM,13777.9,28.711,,,
143,07/12/18 01:30:00 PM,3100.0,,,,
144,07/12/18 02:00:00 PM,5511.1,23.628,,,
