"Plot Title: 1027086"
"#","Date Time, GMT-06:00","Intensity, Lux (LGR S/N: 1027086, SEN S/N: 1027086)","Avg: Hourly Temperature, °C (LGR S/N: 1027086)","Max: Daily Temperature, °C (LGR S/N: 1027086)","Min: Daily Temperature, °C (LGR S/N: 1027086)","Coupler Attached (LGR S/N: 1027086)","Coupler Detached (LGR S/N: 1027086)","Host Connected (LGR S/N: 1027086)","Stopped (LGR S/N: 1027086)","End Of File (LGR S/N: 1027086)"
1,07/09/18 12:00:00 AM,,,30.356,24.255,,,,,
2,07/09/18 03:00:00 PM,0.0,28.505,,,,,,,
3,07/09/18 03:30:00 PM,0.0,,,,,,,,
4,07/09/18 04:00:00 PM,0.0,29.552,,,,,,,
5,07/09/18 04:30:00 PM,0.0,,,,,,,,
6,07/09/18 05:00:00 PM,0.0,30.305,,,,,,,
7,07/09/18 05:30:00 PM,0.0,,,,,,,,
8,07/09/18 06:00:00 PM,0.0,30.204,,,,,,,
9,07/09/18 06:30:00 PM,0.0,,,,,,,,
10,07/09/18 07:00:00 PM,0.0,29.903,,,,,,,
11,07/09/18 07:30:00 PM,0.0,,,,,,,,
12,07/09/18 08:00:00 PM,376.7,26.058,,,,,,,
13,07/09/18 08:30:00 PM,21.5,,,,,,,,
14,07/09/18 09:00:00 PM,53.8,25.223,,,,,,,
15,07/09/18 09:30:00 PM,21.5,,,,,,,,
16,07/09/18 10:00:00 PM,21.5,25.951,,,,,,,
17,07/09/18 10:30:00 PM,21.5,,,,,,,,
18,07/09/18 11:00:00 PM,0.0,25.367,,,,,,,
19,07/09/18 11:30:00 PM,0.0,,,,,,,,
20,07/10/18 12:00:00 AM,0.0,25.125,46.850,7.582,,,,,
21,07/10/18 12:30:00 AM,0.0,,,,,,,,
22,07/10/18 01:00:00 AM,0.0,24.642,,,,,,,
23,07/10/18 01:30:00 AM,0.0,,,,,,,,
24,07/10/18 02:00:00 AM,0.0,24.255,,,,,,,
25,07/10/18 02:30:00 AM,0.0,,,,,,,,
26,07/10/18 03:00:00 AM,0.0,23.773,,,,,,,
27,07/10/18 03:30:00 AM,0.0,,,,,,,,
28,07/10/18 04:00:00 AM,0.0,23.244,,,,,,,
29,07/10/18 04:30:00 AM,0.0,,,,,,,,
30,07/10/18 05:00:00 AM,0.0,22.716,,,,,,,
31,07/10/18 05:30:00 AM,0.0,,,,,,,,
32,07/10/18 06:00:00 AM,0.0,22.333,,,,,,,
33,07/10/18 06:30:00 AM,0.0,,,,,,,,
34,07/10/18 07:00:00 AM,0.0,22.094,,,,,,,
35,07/10/18 07:30:00 AM,86.1,,,,,,,,
36,07/10/18 08:00:00 AM,86.1,22.142,,,,,,,
37,07/10/18 08:30:00 AM,0.0,,,,,,,,
38,07/10/18 09:00:00 AM,53.8,18.949,,,,,,,
39,07/10/18 09:30:00 AM,1377.8,,,,,,,,
40,07/10/18 10:00:00 AM,9300.1,27.872,,,,,,,
41,07/10/18 10:30:00 AM,9300.1,,,,,,,,
42,07/10/18 11:00:00 AM,1550.0,20.764,,,,,,,
43,07/10/18 11:30:00 AM,3100.0,,,,,,,,
44,07/10/18 12:00:00 PM,7233.4,34.482,,,,,,,
45,07/10/18 12:30:00 PM,74400.5,,,,,,,,
46,07/10/18 01:00:00 PM,55111.5,45.286,,,,,,,
47,07/10/18 01:30:00 PM,52355.9,,,,,,,,
48,07/10/18 02:00:00 PM,4650.0,25.915,,,,,,,
49,07/10/18 02:30:00 PM,3272.2,,,,,,,,
50,07/10/18 03:00:00 PM,430.6,17.277,,,,,,,
51,07/10/18 03:30:00 PM,570.5,,,,,,,,
52,07/10/18 04:00:00 PM,505.9,12.496,,,,,,,
53,07/10/18 04:30:00 PM,2066.7,,,,,,,,
54,07/10/18 05:00:00 PM,2927.8,13.798,,,,,,,
55,07/10/18 05:30:00 PM,2755.6,,,,,,,,
56,07/10/18 06:00:00 PM,1980.6,13.413,,,,,,,
57,07/10/18 06:30:00 PM,2497.2,,,,,,,,
58,07/10/18 07:00:00 PM,2755.6,14.565,,,,,,,
59,07/10/18 07:30:00 PM,1259.4,,,,,,,,
60,07/10/18 08:00:00 PM,204.5,11.819,,,,,,,
